,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,Junior Adamu,at AUT,FW,Freiburg,Bundesliga,23,2001,25,19,"1,545",17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,2,36,11,30.6,2.10,0.64,0.06,0.18,12.4,0,0,0,5.5,5.5,0.16,-3.5,-3.5,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,198,312,63.5,2376,316,124,180,68.9,48,70,68.6,2,6,33.3,2,2.4,1.9,-0.4,17,7,8,0,14,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,312,292,18,0,2,0,5,2,0,0,0,0,198,2,12,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,29,1.69,22,0,1,3,3,0,3,0.17,2,0,0,1,0,0,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,9,3,3,3,3,3,11,27.3,8,14,0,14,12,21,20,0,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,534,21,53,252,234,80,534,29,10,34.5,18,62.1,275,1026,349,8,5,4,59,24,350,84,at AUT,FW,Freiburg,Bundesliga,23,2001,25,"1,545",62,50.5,17.2,19,75,4,6,20,5,1.40,20,29,-9,-0.52,-0.82,23.7,18.5,+5.2,+0.30,+0.51,at AUT,FW,Freiburg,Bundesliga,23,2001,17.2,5,1,0,38,22,17,5,12,3,0,0,0,52,53,108,32.9
1,Karim Adeyemi,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,25,17,"1,433",15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,17.6,0,0,0,5.5,5.5,0.12,+1.5,+1.5,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,298,401,74.3,4376,889,164,202,81.2,99,123,80.5,16,23,69.6,6,6.0,4.1,0.0,28,10,19,2,28,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,401,388,11,1,3,2,26,7,2,2,0,0,298,2,20,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,57,3.58,35,1,12,6,2,1,11,0.69,7,0,3,1,0,0,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,20,14,6,6,8,8,20,40.0,12,14,1,13,7,27,5,0,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,636,9,51,231,365,88,636,94,40,42.6,49,52.1,417,3230,1543,68,36,41,43,31,465,153,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,25,"1,433",57,46.8,15.9,17,72,2,8,25,0,1.84,38,24,+14,+0.88,+0.55,32.8,20.3,+12.5,+0.78,+0.46,de GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,4,0,0,27,18,4,26,7,14,0,0,0,48,9,13,40.9
2,Amine Adli,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.00,0.23,0.23,0.23,0.32,0.08,0.40,0.32,0.40,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,2,20,7,35.0,2.35,0.82,0.10,0.29,13.1,0,0,0,2.7,2.7,0.14,-0.7,-0.7,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,267,360,74.2,3379,721,170,202,84.2,72,99,72.7,6,19,31.6,0,0.7,1.9,-0.7,11,9,15,4,24,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,360,346,12,0,0,2,33,8,3,2,1,0,267,2,14,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,29,3.41,19,0,2,4,4,0,0,0.00,0,0,0,0,0,0,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,15,9,4,2,9,4,11,36.4,7,11,0,11,0,15,4,0,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,468,4,40,152,286,53,468,32,15,46.9,16,50.0,248,1501,838,37,25,11,20,6,350,100,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,20,766,38,25.0,8.5,6,69,1,14,25,1,1.85,17,13,+4,+0.47,-0.51,16.1,8.5,+7.6,+0.90,+0.39,ma MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,3,0,0,15,9,7,33,0,9,2,0,0,30,21,26,44.7
3,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,32,17,"1,639",18.2,3,1,4,3,0,0,3,0,3.1,3.1,3.8,7.0,53,32,108,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,20.4,0,0,0,3.1,3.1,0.08,-0.1,-0.1,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,320,461,69.4,5556,1270,148,185,80.0,129,165,78.2,35,55,63.6,1,3.8,3.6,-2.8,21,23,14,10,32,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,461,434,22,3,1,4,53,11,0,0,0,0,320,5,31,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,52,2.86,28,0,12,7,5,0,6,0.33,3,0,3,0,0,0,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,17,8,4,8,5,7,19,36.8,12,17,1,16,8,25,20,0,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,741,13,84,304,365,62,741,98,48,49.0,43,43.9,495,3452,1392,53,43,28,63,45,555,108,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,32,"1,639",51,53.6,18.2,17,76,2,15,23,2,0.97,18,27,-9,-0.49,-0.24,19.5,25.6,-6.0,-0.33,-0.08,eng ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,3,0,0,21,42,9,53,8,8,1,0,0,72,19,45,29.7
4,Felix Agu,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,22,21,"1,751",19.5,3,0,3,3,0,0,1,0,1.4,1.4,1.8,3.2,33,43,105,0.15,0.00,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,3,9,4,44.4,0.46,0.21,0.33,0.75,13.3,0,0,0,1.4,1.4,0.15,+1.6,+1.6,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,655,822,79.7,10350,3456,336,379,88.7,244,298,81.9,50,81,61.7,0,1.8,2.5,-1.8,20,36,22,12,43,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,822,667,153,6,0,3,49,147,0,0,0,0,655,2,26,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,35,1.80,30,1,2,0,2,0,1,0.05,1,0,0,0,0,0,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,30,14,12,14,4,12,23,52.2,11,27,9,18,21,51,48,0,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,1045,48,315,465,270,37,1045,35,9,25.7,19,54.3,545,2589,1278,33,12,8,33,12,605,105,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,22,"1,751",80,57.2,19.5,21,82,9,1,30,2,1.64,30,31,-1,-0.05,+0.09,29.0,24.8,+4.2,+0.22,+0.44,ng NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,1,0,0,11,43,4,49,21,14,0,0,1,67,21,30,41.2
5,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,10,13,76.9,125,21,7,7,100.0,2,4,50.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,22,0,2,10,10,2,22,0,0,0,0,0,12,68,26,1,2,0,3,0,14,3,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,5,43,9,1.4,0.5,0,0,0,5,9,16,1.20,1,1,0,0.00,+0.39,1.7,1.3,+0.5,+0.98,+1.29,se SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,32,23,"2,220",24.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,98,16,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,0,5,1,20.0,0.20,0.04,0.00,0.00,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,1193,1369,87.1,21274,7664,477,507,94.1,598,654,91.4,88,159,55.3,0,0.3,0.6,-0.3,7,101,10,0,98,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,1369,1280,85,43,1,5,12,14,0,0,0,0,1193,4,10,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,27,1.09,25,1,0,0,1,0,1,0.04,1,0,0,0,0,0,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,54,27,36,12,6,30,46,65.2,16,65,37,28,29,83,115,1,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,1692,227,759,830,115,5,1692,15,8,53.3,6,40.0,892,3929,1772,14,15,0,11,9,1025,16,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,32,"2,220",69,72.5,24.7,23,86,21,9,26,2,0.97,31,48,-17,-0.69,-0.15,30.9,44.7,-13.8,-0.56,-0.63,ng NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,3,0,0,25,23,1,12,29,27,0,4,0,107,48,47,50.5
7,Andreas Albers,dk DEN,FW,St. Pauli,Bundesliga,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.00,1.45,1.45,1.45,0.90,0.14,1.04,0.90,1.04,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,1,3,1,33.3,4.35,1.45,0.33,1.00,11.9,0,0,0,0.6,0.6,0.20,+0.4,+0.4,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,15,29,51.7,233,47,10,18,55.6,4,6,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,3,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6,dk DEN,FW,St. Pauli,Bundesliga,34,1990,14,62,4,2.0,0.7,0,0,0,14,4,4,0.86,1,2,-1,-1.45,-1.09,1.0,2.1,-1.1,-1.61,-1.34,dk DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5
8,Ben Alexander Voll,de GER,GK,St. Pauli,Bundesliga,23,2000,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,28,50,56.0,749,588,8,8,100.0,13,14,92.9,7,28,25.0,0,0.1,0.0,-0.1,1,0,0,0,0,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,50,33,17,4,0,0,0,0,0,0,0,0,28,0,0,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,52,46,52,0,0,0,52,0,0,0,0,0,33,185,120,0,0,0,0,0,23,0,de GER,GK,St. Pauli,Bundesliga,23,2000,2,91,46,3.0,1.0,1,90,1,1,1,22,0.50,2,2,0,0.00,+0.39,0.8,1.7,-0.9,-0.87,-0.60,de GER,GK,St. Pauli,Bundesliga,23,2000,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Skelly Alvero,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,0,1,0,0.0,0.38,0.00,0.00,0,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,68,91,74.7,1077,220,34,41,82.9,30,38,78.9,3,5,60.0,0,0.0,0.1,0.0,0,3,3,0,8,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,2,0.76,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,11,6,5,5,1,4,5,80.0,1,4,0,4,2,13,10,0,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,136,15,49,68,19,2,136,3,2,66.7,1,33.3,70,306,132,1,1,0,6,4,74,0,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,12,236,20,7.7,2.6,1,56,0,11,16,10,1.42,0,4,-4,-1.53,-1.56,2.7,5.9,-3.3,-1.25,-1.39,fr FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,1,0,0,7,5,0,0,2,6,0,0,0,13,5,3,62.5
