,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,Max Aarons,eng ENG,"DF,MF",Valencia,La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,47,66,71.2,705,190,24,30,80.0,21,30,70.0,1,4,25.0,0,0.0,0.0,0.0,1,2,0,0,6,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,eng ENG,"DF,MF",Valencia,La Liga,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.50,-1.28,1.5,3.7,-2.3,-1.69,-1.52,eng ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7
1,Rodrigo Abajas,es ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,es ESP,DF,Valencia,La Liga,21,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,0,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,es ESP,DF,Valencia,La Liga,21,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,es ESP,DF,Valencia,La Liga,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,es ESP,DF,Valencia,La Liga,21,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Valencia,La Liga,21,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,es ESP,DF,Valencia,La Liga,21,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,es ESP,DF,Valencia,La Liga,21,2003,1,65,65,1.9,0.7,1,65,0,0,0,8,0.00,1,2,-1,-1.38,-1.14,1.4,0.7,+0.7,+0.93,+1.18,es ESP,DF,Valencia,La Liga,21,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
2,Abel,es ESP,DF,Osasuna,La Liga,23,2000,35,20,"2,074",23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.00,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,es ESP,DF,Osasuna,La Liga,23,2000,23.0,2,12,4,33.3,0.52,0.17,0.17,0.50,22.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5,es ESP,DF,Osasuna,La Liga,23,2000,23.0,776,1071,72.5,12899,5046,385,439,87.7,315,401,78.6,58,158,36.7,0,1.0,1.5,-1.0,16,57,18,13,77,es ESP,DF,Osasuna,La Liga,23,2000,23.0,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47,es ESP,DF,Osasuna,La Liga,23,2000,23.0,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1,es ESP,DF,Osasuna,La Liga,23,2000,23.0,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2,es ESP,DF,Osasuna,La Liga,23,2000,23.0,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,es ESP,DF,Osasuna,La Liga,23,2000,35,"2,074",59,60.6,23.0,20,86,13,15,24,3,1.46,30,35,-5,-0.22,-0.28,25.7,34.4,-8.7,-0.38,-0.32,es ESP,DF,Osasuna,La Liga,23,2000,23.0,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1
3,Nabil Aberdin,fr FRA,MF,Getafe,La Liga,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,fr FRA,MF,Getafe,La Liga,21,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,fr FRA,MF,Getafe,La Liga,21,2002,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,fr FRA,MF,Getafe,La Liga,21,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,fr FRA,MF,Getafe,La Liga,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fr FRA,MF,Getafe,La Liga,21,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,fr FRA,MF,Getafe,La Liga,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,fr FRA,MF,Getafe,La Liga,21,2002,7,263,38,7.7,2.9,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.23,1.8,1.6,+0.2,+0.07,+0.34,fr FRA,MF,Getafe,La Liga,21,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
4,Abdel Abqar,ma MAR,DF,Alavés,La Liga,25,1999,29,29,"2,463",27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,ma MAR,DF,Alavés,La Liga,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,ma MAR,DF,Alavés,La Liga,25,1999,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,+0.7,8,67,10,2,79,ma MAR,DF,Alavés,La Liga,25,1999,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,ma MAR,DF,Alavés,La Liga,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,ma MAR,DF,Alavés,La Liga,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,ma MAR,DF,Alavés,La Liga,25,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,ma MAR,DF,Alavés,La Liga,25,1999,29,"2,463",85,72.0,27.4,29,85,24,0,0,0,1.03,30,41,-11,-0.40,-0.50,32.0,33.4,-1.4,-0.05,+0.21,ma MAR,DF,Alavés,La Liga,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
5,Akor Adams,ng NGA,FW,Sevilla,La Liga,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,0,2,1,50.0,1.34,0.67,0.00,0.00,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,ng NGA,FW,Sevilla,La Liga,24,2000,4,134,34,3.9,1.5,1,90,1,3,15,0,0.25,1,3,-2,-1.34,-1.04,1.0,2.0,-1.0,-0.71,-0.61,ng NGA,FW,Sevilla,La Liga,24,2000,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5
6,Adrián,es ESP,GK,Betis,La Liga,37,1987,19,19,"1,710",19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es ESP,GK,Betis,La Liga,37,1987,19.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,es ESP,GK,Betis,La Liga,37,1987,19.0,474,619,76.6,12206,8309,74,76,97.4,265,268,98.9,134,269,49.8,0,0.0,0.0,0.0,0,4,0,0,0,es ESP,GK,Betis,La Liga,37,1987,19.0,619,453,163,54,0,0,0,0,0,0,0,0,474,3,4,es ESP,GK,Betis,La Liga,37,1987,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,GK,Betis,La Liga,37,1987,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,es ESP,GK,Betis,La Liga,37,1987,19.0,658,568,657,1,0,0,658,0,0,0,0,0,390,1788,1161,0,0,0,1,0,299,0,es ESP,GK,Betis,La Liga,37,1987,19,"1,710",90,50.0,19.0,19,90,19,0,0,17,1.95,39,27,+12,+0.63,+0.89,25.8,25.7,+0.2,+0.01,-0.20,es ESP,GK,Betis,La Liga,37,1987,19.0,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7
7,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,23,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,437,357,436,1,0,0,437,0,0,0,0,0,237,1238,682,0,0,0,1,0,211,0,es ESP,GK,Athletic Club,La Liga,23,2000,14,"1,206",86,35.3,13.4,14,86,12,0,0,22,2.21,22,9,+13,+0.97,+0.48,19.0,11.0,+8.0,+0.60,+0.30,es ESP,GK,Athletic Club,La Liga,23,2000,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0
8,Lucien Agoume,fr FRA,MF,Sevilla,La Liga,22,2002,35,24,"2,114",23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.10,0.50,15.0,0,0,0,0.9,0.9,0.09,+0.1,+0.1,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,1007,1236,81.5,15958,5460,545,601,90.7,357,425,84.0,79,142,55.6,3,2.5,1.6,+0.5,27,126,19,3,135,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,1236,1190,38,32,6,9,18,6,0,0,0,0,1007,8,16,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23,fr FRA,MF,Sevilla,La Liga,22,2002,35,"2,114",60,61.8,23.5,24,84,14,11,10,1,1.09,26,39,-13,-0.55,-0.55,25.7,31.4,-5.8,-0.24,-0.32,fr FRA,MF,Sevilla,La Liga,22,2002,23.5,5,1,0,49,6,2,18,41,32,0,1,0,136,42,40,51.2
9,Álvaro Aguado,es ESP,MF,Espanyol,La Liga,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,15,37,4,0.00,0.20,0.20,0.00,0.20,0.12,0.12,0.24,0.12,0.24,es ESP,MF,Espanyol,La Liga,28,1996,4.9,0,10,1,10.0,2.03,0.20,0.00,0.00,23.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6,es ESP,MF,Espanyol,La Liga,28,1996,4.9,193,248,77.8,3748,1187,63,81,77.8,99,116,85.3,28,40,70.0,1,0.6,0.4,+0.4,4,31,8,3,37,es ESP,MF,Espanyol,La Liga,28,1996,4.9,248,230,17,10,1,3,12,3,3,1,1,0,193,1,5,es ESP,MF,Espanyol,La Liga,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.20,1,0,0,0,0,0,es ESP,MF,Espanyol,La Liga,28,1996,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1,es ESP,MF,Espanyol,La Liga,28,1996,4.9,303,7,68,161,78,6,303,8,5,62.5,2,25.0,175,1443,753,15,10,4,9,4,189,4,es ESP,MF,Espanyol,La Liga,28,1996,16,443,28,13.0,4.9,4,71,0,12,13,20,0.94,6,7,-1,-0.20,+0.10,6.0,8.3,-2.4,-0.48,+0.03,es ESP,MF,Espanyol,La Liga,28,1996,4.9,3,0,0,5,8,0,12,4,2,0,0,0,37,3,2,60.0
