,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,Liel Abada,il ISR,FW,Charlotte,MLS,22,2001,24,20,"1,637",18.2,7,1,8,7,0,0,2,0,6.2,6.2,3.0,9.2,80,63,156,0.38,0.05,0.44,0.38,0.44,0.34,0.16,0.50,0.34,0.50,il ISR,FW,Charlotte,MLS,22,2001,18.2,7,53,28,52.8,2.91,1.54,0.13,0.25,16.5,0,0,0,6.2,6.2,0.12,+0.8,+0.8,il ISR,FW,Charlotte,MLS,22,2001,18.2,330,465,71.0,4872,1576,182,229,79.5,117,158,74.1,16,44,36.4,1,3.0,3.6,-2.0,28,25,28,5,63,il ISR,FW,Charlotte,MLS,22,2001,18.2,465,445,19,0,3,4,43,4,15,6,4,1,330,1,11,il ISR,FW,Charlotte,MLS,22,2001,18.2,60,3.30,48,2,5,3,2,0,4,0.22,3,0,1,0,0,0,il ISR,FW,Charlotte,MLS,22,2001,18.2,10,8,2,4,4,5,16,31.3,11,10,0,10,5,15,4,0,il ISR,FW,Charlotte,MLS,22,2001,18.2,641,4,55,194,406,94,641,51,21,41.2,28,54.9,441,3409,1926,80,34,40,34,34,481,156,il ISR,FW,Charlotte,MLS,22,2001,24,"1,637",68,53.5,18.2,20,78,3,4,19,0,1.30,26,24,+2,+0.11,-0.33,25.4,27.7,-2.2,-0.12,-0.40,il ISR,FW,Charlotte,MLS,22,2001,18.2,2,0,0,9,11,13,43,5,8,0,0,0,68,2,16,11.1
1,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,MLS,23,2000,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,23,30,76.7,362,114,9,12,75.0,12,13,92.3,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,3,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,30,29,1,0,0,0,1,0,1,0,1,0,23,0,1,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,33,0,4,20,10,0,33,1,1,100.0,0,0.0,19,133,40,1,0,0,0,0,25,3,us USA,"FW,DF",Inter Miami,MLS,23,2000,2,31,16,1.0,0.3,0,0,0,2,16,0,0.50,0,0,0,0.00,-0.89,0.5,0.0,+0.5,+1.42,+1.41,us USA,"FW,DF",Inter Miami,MLS,23,2000,0.3,0,0,0,2,1,0,1,0,1,0,0,0,6,0,0,0
2,Luis Abram,pe PER,DF,Atlanta Utd,MLS,27,1996,19,11,"1,102",12.2,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,2,35,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,0,8,1,12.5,0.65,0.08,0.00,0.00,9.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,599,672,89.1,12246,5005,175,184,95.1,344,373,92.2,76,108,70.4,0,0.1,0.1,-0.1,3,30,1,1,35,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,672,640,31,10,0,5,2,2,0,0,0,0,599,1,2,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,12,0.98,10,0,0,1,0,1,0,0.00,0,0,0,0,0,0,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,8,5,4,1,3,3,8,37.5,5,11,9,2,9,17,50,1,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,777,114,428,324,30,19,777,3,2,66.7,1,33.3,428,1923,1139,2,4,0,3,1,543,3,pe PER,DF,Atlanta Utd,MLS,27,1996,19,"1,102",58,36.0,12.2,11,90,11,8,14,10,1.33,17,20,-3,-0.25,-0.25,21.5,14.7,+6.8,+0.56,+0.76,pe PER,DF,Atlanta Utd,MLS,27,1996,12.2,2,0,0,5,2,0,2,9,5,0,0,0,42,17,17,50.0
3,Lalas Abubakar,gh GHA,DF,Colorado Rapids,MLS,29,1994,18,15,"1,278",14.2,0,1,1,0,0,0,3,0,0.4,0.4,0.1,0.5,2,41,1,0.00,0.07,0.07,0.00,0.07,0.03,0.01,0.04,0.03,0.04,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,0,6,0,0.0,0.42,0.00,0.00,0,7.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,611,678,90.1,10999,3481,223,240,92.9,341,370,92.2,42,60,70.0,1,0.1,0.1,+0.9,2,29,0,0,41,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,678,663,14,14,0,1,0,0,0,0,0,0,611,1,1,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,5,0.35,4,0,0,0,0,1,2,0.14,1,0,0,0,0,1,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,11,8,8,3,0,6,11,54.5,5,15,14,1,19,30,60,0,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,811,89,393,401,22,14,811,0,0,0,0,0,459,2095,956,2,1,0,4,0,545,1,gh GHA,DF,Colorado Rapids,MLS,29,1994,18,"1,278",71,41.8,14.2,15,84,11,3,7,11,1.25,21,22,-1,-0.07,-0.17,22.5,22.7,-0.2,-0.01,-0.31,gh GHA,DF,Colorado Rapids,MLS,29,1994,14.2,3,0,0,12,5,0,0,19,8,0,1,1,37,35,19,64.8
4,Kellyn Acosta,us USA,MF,Chicago Fire,MLS,28,1995,34,27,"2,302",25.6,3,2,5,3,0,0,6,0,1.1,1.1,2.8,3.9,21,119,45,0.12,0.08,0.20,0.12,0.20,0.04,0.11,0.15,0.04,0.15,us USA,MF,Chicago Fire,MLS,28,1995,25.6,3,23,7,30.4,0.90,0.27,0.13,0.43,26.3,3,0,0,1.1,1.1,0.05,+1.9,+1.9,us USA,MF,Chicago Fire,MLS,28,1995,25.6,1058,1324,79.9,18543,5006,485,553,87.7,463,524,88.4,91,194,46.9,2,2.8,2.9,-0.8,29,97,23,4,119,us USA,MF,Chicago Fire,MLS,28,1995,25.6,1324,1207,112,50,4,12,88,5,56,33,16,0,1058,5,15,us USA,MF,Chicago Fire,MLS,28,1995,25.6,66,2.58,49,11,3,1,1,1,4,0.16,4,0,0,0,0,0,us USA,MF,Chicago Fire,MLS,28,1995,25.6,47,34,19,22,6,18,49,36.7,31,20,3,17,30,77,12,1,us USA,MF,Chicago Fire,MLS,28,1995,25.6,1531,17,275,885,379,14,1531,32,16,50.0,15,46.9,856,3757,1413,21,23,3,30,19,1058,45,us USA,MF,Chicago Fire,MLS,28,1995,34,"2,302",68,75.2,25.6,27,79,9,7,26,0,0.88,31,54,-23,-0.90,-1.02,33.0,40.5,-7.5,-0.29,-0.26,us USA,MF,Chicago Fire,MLS,28,1995,25.6,6,0,0,40,17,0,88,30,34,0,0,0,135,12,19,38.7
5,Luciano Acosta,ar ARG,MF,FC Cincinnati,MLS,29,1994,32,29,"2,704",30.0,14,16,30,11,3,4,7,0,9.9,6.7,11.7,18.4,121,250,237,0.47,0.53,1.00,0.37,0.90,0.33,0.39,0.72,0.22,0.61,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,14,80,24,30.0,2.66,0.80,0.14,0.46,21.4,12,3,4,9.9,6.7,0.08,+4.1,+4.3,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,1215,1658,73.3,20558,7269,653,790,82.7,393,502,78.3,132,240,55.0,16,11.7,13.2,+4.3,109,152,105,12,250,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,1658,1399,251,55,23,26,157,29,108,55,25,1,1215,8,53,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,224,7.46,142,37,26,9,7,3,29,0.97,17,4,7,0,1,0,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,39,25,12,21,6,18,35,51.4,17,27,1,26,14,53,5,0,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,2079,8,110,872,1122,150,2075,213,86,40.4,120,56.3,1289,6948,3613,121,100,54,78,52,1528,237,ar ARG,MF,FC Cincinnati,MLS,29,1994,32,"2,704",85,88.4,30.0,29,89,23,3,45,0,1.71,54,42,+12,+0.40,+0.91,44.0,34.9,+9.1,+0.30,+0.46,ar ARG,MF,FC Cincinnati,MLS,29,1994,30.0,7,0,0,47,50,23,157,14,25,1,0,0,120,9,9,50.0
6,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,11,1,254,2.8,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,3,3,15,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,0,5,3,60.0,1.77,1.06,0.00,0.00,14.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,34,52,65.4,415,47,22,30,73.3,9,14,64.3,0,0,0,0,0.0,0.1,0.0,1,3,1,0,3,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,52,51,1,0,0,0,3,0,0,0,0,0,34,0,1,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,4,1.42,2,0,1,1,0,0,1,0.35,1,0,0,0,0,0,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,5,3,5,0,0,0,2,0.0,2,4,0,4,2,7,1,0,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,80,0,8,37,36,6,80,3,1,33.3,2,66.7,37,169,78,3,1,2,6,0,50,15,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,11,254,23,8.3,2.8,1,78,0,10,18,6,0.82,5,7,-2,-0.71,-1.06,3.7,4.2,-0.5,-0.16,-0.27,ng NGA,"FW,MF",Minnesota Utd,MLS,24,2000,2.8,2,0,0,8,1,1,3,2,3,0,0,0,5,5,14,26.3
7,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,16,8,751,8.3,1,2,3,1,0,0,4,0,0.7,0.7,3.2,3.9,31,39,94,0.12,0.24,0.36,0.12,0.36,0.08,0.38,0.46,0.08,0.46,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,1,9,3,33.3,1.08,0.36,0.11,0.33,13.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,398,482,82.6,6336,1894,202,223,90.6,170,202,84.2,18,36,50.0,2,3.2,2.7,-1.2,14,24,19,9,39,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,482,462,18,3,0,2,40,15,0,0,0,0,398,2,6,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,21,2.51,20,0,0,1,0,0,3,0.36,3,0,0,0,0,0,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,5,2,2,2,1,3,5,60.0,2,5,3,2,5,10,19,0,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,552,20,71,263,219,26,552,7,3,42.9,1,14.3,357,1723,868,31,19,4,15,1,446,94,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,16,751,47,24.5,8.3,8,70,2,8,24,0,1.30,11,14,-3,-0.36,-0.59,15.5,13.9,+1.6,+0.19,+0.06,ca CAN,"DF,MF",Vancouver W'caps,MLS,29,1995,8.3,4,0,0,13,5,2,40,5,2,0,0,0,32,13,8,61.9
8,Samuel Adeniran,us USA,FW,Philadelphia Union,MLS,25,1998,7,0,137,1.5,0,0,0,0,0,0,0,0,1.4,1.4,0.0,1.5,7,4,10,0.00,0.00,0.00,0.00,0.00,0.95,0.03,0.98,0.95,0.98,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,0,10,5,50.0,6.57,3.28,0.00,0.00,14.8,0,0,0,1.4,1.4,0.15,-1.4,-1.4,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,21,34,61.8,365,116,12,18,66.7,7,12,58.3,2,2,100.0,0,0.0,0.1,0.0,1,1,2,0,4,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,34,34,0,0,0,1,3,0,0,0,0,0,21,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,5,3.28,3,0,1,1,0,0,1,0.66,1,0,0,0,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,6,4,3,2,1,3,3,100.0,0,1,0,1,3,9,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,66,0,5,26,38,13,66,4,1,25.0,3,75.0,39,359,206,7,4,4,4,3,42,10,us USA,FW,Philadelphia Union,MLS,25,1998,7,137,20,4.5,1.5,0,0,0,7,20,3,1.86,3,1,+2,+1.31,+1.16,5.9,2.4,+3.5,+2.29,+2.14,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,0,0,0,3,1,0,3,3,4,0,0,0,9,4,9,30.8
9,Samuel Adeniran,us USA,FW,Philadelphia Union,MLS,25,1998,7,0,137,1.5,0,0,0,0,0,0,0,0,1.4,1.4,0.0,1.5,7,4,10,0.00,0.00,0.00,0.00,0.00,0.95,0.03,0.98,0.95,0.98,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,0,10,5,50.0,6.57,3.28,0.00,0.00,14.8,0,0,0,1.4,1.4,0.15,-1.4,-1.4,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,21,34,61.8,365,116,12,18,66.7,7,12,58.3,2,2,100.0,0,0.0,0.1,0.0,1,1,2,0,4,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,34,34,0,0,0,1,3,0,0,0,0,0,21,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,5,3.28,3,0,1,1,0,0,1,0.66,1,0,0,0,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,6,4,3,2,1,3,3,100.0,0,1,0,1,3,9,0,0,us USA,FW,Philadelphia Union,MLS,25,1998,1.5,66,0,5,26,38,13,66,4,1,25.0,3,75.0,39,359,206,7,4,4,4,3,42,10,us USA,FW,Philadelphia Union,MLS,25,1998,7,137,20,4.5,1.5,0,0,0,7,20,3,1.86,3,1,+2,+1.31,+1.16,5.9,2.4,+3.5,+2.29,+2.14,us USA,"FW,MF",St. Louis,MLS,25,1998,6.6,2,0,0,12,3,3,4,2,1,0,0,0,14,20,16,55.6
