,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,Max Aarons,eng ENG,DF,Bournemouth,Premier League,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,eng ENG,DF,Bournemouth,Premier League,24,2000,3,86,29,2.5,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.82,2.3,0.3,+2.0,+2.12,+1.75,eng ENG,DF,Bournemouth,Premier League,24,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,0
1,Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,0,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,eng ENG,DF,Chelsea,Premier League,18,2006,4,170,43,5.0,1.9,2,80,1,2,5,19,2.00,2,3,-1,-0.53,-1.14,3.6,2.1,+1.5,+0.82,+0.29,eng ENG,DF,Chelsea,Premier League,18,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
2,Tyler Adams,us USA,MF,Bournemouth,Premier League,25,1999,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,us USA,MF,Bournemouth,Premier League,25,1999,21.8,0,9,2,22.2,0.41,0.09,0.00,0.00,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,us USA,MF,Bournemouth,Premier League,25,1999,21.8,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1.0,0.8,+2.0,18,67,4,1,76,us USA,MF,Bournemouth,Premier League,25,1999,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14,us USA,MF,Bournemouth,Premier League,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,us USA,MF,Bournemouth,Premier League,25,1999,21.8,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0,us USA,MF,Bournemouth,Premier League,25,1999,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10,us USA,MF,Bournemouth,Premier League,25,1999,28,"1,965",70,57.5,21.8,21,85,15,7,26,1,1.46,41,30,+11,+0.50,+0.44,35.5,28.9,+6.6,+0.30,-0.25,us USA,MF,Bournemouth,Premier League,25,1999,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
3,Tosin Adarabioyo,eng ENG,DF,Chelsea,Premier League,26,1997,22,15,"1,409",15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,1,13,2,15.4,0.83,0.13,0.08,0.50,12.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,0.2,+0.8,1,62,1,0,42,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1,eng ENG,DF,Chelsea,Premier League,26,1997,22,"1,409",64,41.2,15.7,15,84,13,7,20,16,1.86,28,14,+14,+0.89,+0.58,30.8,19.3,+11.5,+0.74,+0.34,eng ENG,DF,Chelsea,Premier League,26,1997,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0
4,Simon Adingra,ci CIV,"FW,MF",Brighton,Premier League,22,2002,29,12,"1,097",12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.20,0.20,0.40,0.20,0.40,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136,ci CIV,"FW,MF",Brighton,Premier League,22,2002,29,"1,097",38,32.1,12.2,12,66,1,17,18,6,1.59,18,23,-5,-0.41,-0.88,18.2,19.0,-0.9,-0.07,-0.27,ci CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
5,Emmanuel Agbadou,ci CIV,DF,Wolves,Premier League,27,1997,16,16,"1,410",15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,ci CIV,DF,Wolves,Premier League,27,1997,15.7,1,7,2,28.6,0.45,0.13,0.14,0.50,27.6,1,0,0,0.8,0.8,0.12,+0.2,+0.2,ci CIV,DF,Wolves,Premier League,27,1997,15.7,855,1001,85.4,17344,6203,276,299,92.3,466,501,93.0,107,181,59.1,0,0.2,0.3,-0.2,4,40,1,0,31,ci CIV,DF,Wolves,Premier League,27,1997,15.7,1001,955,43,28,1,11,2,0,0,0,0,0,855,3,5,ci CIV,DF,Wolves,Premier League,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,ci CIV,DF,Wolves,Premier League,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0,ci CIV,DF,Wolves,Premier League,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2,ci CIV,DF,Wolves,Premier League,27,1997,16,"1,410",88,41.2,15.7,16,88,15,0,0,0,1.44,20,22,-2,-0.13,+0.45,19.1,22.8,-3.6,-0.23,+0.25,ci CIV,DF,Wolves,Premier League,27,1997,15.7,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5
6,Asher Agbinone,eng ENG,MF,Crystal Palace,Premier League,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,0,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,eng ENG,MF,Crystal Palace,Premier League,18,2005,2,6,3,0.2,0.1,0,0,0,2,3,10,0.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+1.71,+1.42,eng ENG,MF,Crystal Palace,Premier League,18,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
7,Ola Aina,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,35,35,"2,995",33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,2,11,2,18.2,0.33,0.06,0.18,1.00,26.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,994,1352,73.5,15371,6297,530,598,88.6,374,502,74.5,57,166,34.3,1,1.4,2.2,-0.4,16,85,23,11,107,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,823,67,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,35,"2,995",86,87.6,33.3,35,86,28,0,0,0,1.77,55,39,+16,+0.48,+1.33,41.2,39.4,+1.9,+0.06,+1.18,ng NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,23,2001,37,37,"3,109",34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.20,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,dz ALG,DF,Wolves,Premier League,23,2001,34.5,4,36,10,27.8,1.04,0.29,0.11,0.40,14.9,0,0,0,2.7,2.7,0.08,+1.3,+1.3,dz ALG,DF,Wolves,Premier League,23,2001,34.5,1449,1721,84.2,19837,5926,897,959,93.5,435,499,87.2,48,118,40.7,7,5.5,4.0,+1.5,46,77,30,10,108,dz ALG,DF,Wolves,Premier League,23,2001,34.5,1721,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42,dz ALG,DF,Wolves,Premier League,23,2001,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,dz ALG,DF,Wolves,Premier League,23,2001,34.5,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2,dz ALG,DF,Wolves,Premier League,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176,dz ALG,DF,Wolves,Premier League,23,2001,37,"3,109",84,90.9,34.5,37,84,18,0,0,0,1.05,46,67,-21,-0.61,-2.34,38.7,52.6,-13.9,-0.40,-0.25,dz ALG,DF,Wolves,Premier League,23,2001,34.5,7,1,1,30,46,6,94,26,57,0,0,0,145,22,30,42.3
9,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,26,1998,24,17,"1,438",16.0,0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,no NOR,DF,Brentford,Premier League,26,1998,16.0,0,9,3,33.3,0.56,0.19,0.00,0.00,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,no NOR,DF,Brentford,Premier League,26,1998,16.0,504,644,78.3,7868,2831,260,299,87.0,199,248,80.2,27,54,50.0,0,1.2,0.5,-1.2,8,44,7,4,56,no NOR,DF,Brentford,Premier League,26,1998,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18,no NOR,DF,Brentford,Premier League,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,no NOR,DF,Brentford,Premier League,26,1998,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0,no NOR,DF,Brentford,Premier League,26,1998,16.0,795,53,265,368,168,38,795,16,7,43.8,8,50.0,387,2098,1180,27,11,2,15,12,491,44,no NOR,DF,Brentford,Premier League,26,1998,24,"1,438",60,42.0,16.0,17,79,5,7,14,2,1.33,20,25,-5,-0.31,-0.95,20.8,21.5,-0.7,-0.04,-0.23,no NOR,DF,Brentford,Premier League,26,1998,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0
