,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
0,James Abankwah,ie IRL,"DF,MF",Udinese,Serie A,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,0,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,65,8,37,22,7,2,65,0,0,0,0,0,29,219,165,3,1,1,1,3,34,1,ie IRL,"DF,MF",Udinese,Serie A,20,2004,6,88,15,2.6,1.0,0,0,0,6,15,12,1.67,2,0,+2,+2.05,+2.50,0.6,1.5,-0.9,-0.91,-0.54,ie IRL,"DF,MF",Udinese,Serie A,20,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0
1,Saud Abdulhamid,sa KSA,DF,Roma,Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,sa KSA,DF,Roma,Serie A,25,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,0,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,sa KSA,DF,Roma,Serie A,25,1999,2.3,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,+0.8,2,4,4,2,9,sa KSA,DF,Roma,Serie A,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,sa KSA,DF,Roma,Serie A,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,sa KSA,DF,Roma,Serie A,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,sa KSA,DF,Roma,Serie A,25,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,sa KSA,DF,Roma,Serie A,25,1999,4,205,51,6.0,2.3,2,62,0,2,41,27,1.50,4,1,+3,+1.32,+0.81,3.6,1.5,+2.1,+0.92,+0.64,sa KSA,DF,Roma,Serie A,25,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0
2,Oliver Abildgaard,dk DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dk DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,dk DEN,MF,Como,Serie A,28,1996,0.1,1,1,100.0,21,7,0,0,0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,dk DEN,MF,Como,Serie A,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,dk DEN,MF,Como,Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,dk DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,dk DEN,MF,Como,Serie A,28,1996,0.1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dk DEN,MF,Como,Serie A,28,1996,1,7,7,0.2,0.1,0,0,0,1,7,0,0.00,0,0,0,0.00,+0.08,0.0,0.0,0.0,-0.61,-0.68,dk DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,4,2,eng ENG,FW,Roma,Serie A,26,1997,1,1,1,0.0,0.0,0,0,0,1,1,1,1.00,0,0,0,0.00,-0.55,0.0,0.1,0.0,-3.09,-3.41,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
4,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,4,2,eng ENG,FW,Roma,Serie A,26,1997,1,1,1,0.0,0.0,0,0,0,1,1,1,1.00,0,0,0,0.00,-0.55,0.0,0.1,0.0,-3.09,-3.41,eng ENG,FW,Milan,Serie A,26,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2
5,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,4,2,eng ENG,FW,Milan,Serie A,26,1997,28,"1,183",42,34.6,13.1,12,70,2,16,22,6,1.75,27,14,+13,+0.99,+0.79,24.1,12.8,+11.3,+0.86,+0.41,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
6,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,4,2,eng ENG,FW,Milan,Serie A,26,1997,28,"1,183",42,34.6,13.1,12,70,2,16,22,6,1.75,27,14,+13,+0.99,+0.79,24.1,12.8,+11.3,+0.86,+0.41,eng ENG,FW,Milan,Serie A,26,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Milan,Serie A,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,eng ENG,FW,Roma,Serie A,26,1997,1,1,1,0.0,0.0,0,0,0,1,1,1,1.00,0,0,0,0.00,-0.55,0.0,0.1,0.0,-3.09,-3.41,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
8,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Milan,Serie A,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,eng ENG,FW,Roma,Serie A,26,1997,1,1,1,0.0,0.0,0,0,0,1,1,1,1.00,0,0,0,0.00,-0.55,0.0,0.1,0.0,-3.09,-3.41,eng ENG,FW,Milan,Serie A,26,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2
9,Tammy Abraham,eng ENG,FW,Roma,Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,FW,Roma,Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,eng ENG,FW,Roma,Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,eng ENG,FW,Milan,Serie A,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,eng ENG,FW,Milan,Serie A,26,1997,28,"1,183",42,34.6,13.1,12,70,2,16,22,6,1.75,27,14,+13,+0.99,+0.79,24.1,12.8,+11.3,+0.86,+0.41,eng ENG,FW,Roma,Serie A,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
