,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Arg Juniors,32,25.0,56.3,27,297,2430,27.0,20,12,32,19,1,2,68,6,25.5,23.9,18.0,41.9,416,1078,0.74,0.44,1.19,0.7,1.15,0.94,0.67,1.61,0.89,1.55,Arg Juniors,1,27,27,2430,27.0,28,1.04,90,63,73.3,8,6,13,10,37.0,4,4,0,0,0.0,Arg Juniors,1,27.0,28,4,1,0,1,26.4,0.26,-0.6,-0.02,126,323,39.0,605,85,38.2,36.0,198,46.5,40.2,301,6,2.0,18,0.67,14.8,Arg Juniors,32,27.0,20,383,93,24.3,14.19,3.44,0.05,0.2,20.3,13,1,2,25.5,23.9,0.06,-5.5,-4.9,Arg Juniors,32,27.0,9805,12896,76.0,188901,71676,3823,4504,84.9,4359,5188,84.0,1377,2487,55.4,12,18.0,21.7,-6.0,270,878,217,61,1078,Arg Juniors,32,27.0,12896,11455,1373,347,12,97,618,604,169,52,107,0,9805,68,273,Arg Juniors,32,27.0,651,24.11,459,65,34,50,29,14,35,1.3,26,4,0,4,1,0,Arg Juniors,32,27.0,508,300,246,217,45,251,469,53.5,218,284,65,219,257,765,482,5,Arg Juniors,32,56.3,27.0,16017,1394,5000,7404,3771,534,16015,555,267,48.1,269,48.5,8549,47480,23607,416,286,68,450,326,9700,1067,Arg Juniors,32,25.0,27,2430,90,100,27.0,297,80,166,125,22,197,1.11,22,28,-6,-0.22,25.5,25.4,0.1,0.0,Arg Juniors,32,27.0,68,6,3,307,312,68,618,257,300,1,4,1,1255,423,456,48.1
1,Atlé Tucumán,29,26.8,48.0,27,297,2430,27.0,28,20,48,26,2,4,57,3,34.5,31.4,24.2,55.6,258,910,1.04,0.74,1.78,0.96,1.7,1.28,0.9,2.17,1.16,2.06,Atlé Tucumán,1,27,27,2430,27.0,27,1.0,95,68,73.7,11,7,9,11,40.7,3,2,1,0,33.3,Atlé Tucumán,1,27.0,27,2,2,5,1,27.5,0.27,1.5,0.05,203,525,38.7,467,47,67.2,47.4,231,91.3,63.8,419,15,3.6,25,0.93,13.8,Atlé Tucumán,29,27.0,28,343,103,30.0,12.7,3.81,0.08,0.25,18.9,21,2,4,34.5,31.4,0.09,-6.5,-5.4,Atlé Tucumán,29,27.0,6979,10419,67.0,133844,63889,3005,3781,79.5,2773,3648,76.0,984,2219,44.3,20,24.2,23.9,-4.2,239,766,218,63,910,Atlé Tucumán,29,27.0,10419,9027,1334,274,17,53,482,629,145,54,76,0,6979,58,284,Atlé Tucumán,29,27.0,581,21.52,406,68,16,40,37,14,43,1.59,26,6,2,6,1,2,Atlé Tucumán,29,27.0,535,333,251,220,64,253,459,55.1,206,356,90,266,253,788,715,5,Atlé Tucumán,29,48.0,27.0,13787,1385,4205,6218,3500,532,13783,353,143,40.5,195,55.2,5673,28264,13182,258,208,59,497,205,6916,900,Atlé Tucumán,29,26.8,27,2430,90,100,27.0,297,81,167,128,19,196,1.48,28,27,1,0.04,34.5,28.4,6.2,0.23,Atlé Tucumán,29,27.0,57,3,1,355,244,58,482,253,333,3,3,1,1221,589,521,53.1
2,Banfield,43,25.4,45.5,27,297,2430,27.0,21,14,35,18,3,6,74,6,27.5,22.9,17.5,40.4,315,767,0.78,0.52,1.3,0.67,1.19,1.02,0.65,1.66,0.85,1.5,Banfield,2,27,27,2430,27.0,36,1.33,109,71,69.7,5,9,13,5,18.5,5,3,2,0,40.0,Banfield,2,27.0,36,3,1,5,0,31.8,0.26,-4.2,-0.15,103,320,32.2,526,116,37.8,35.5,237,51.1,41.6,411,26,6.3,10,0.37,12.6,Banfield,43,27.0,21,272,79,29.0,10.07,2.93,0.07,0.23,18.3,18,3,6,27.5,22.9,0.09,-6.5,-4.9,Banfield,43,27.0,6557,9571,68.5,131567,55869,2389,2979,80.2,2995,3835,78.1,1022,2132,47.9,14,17.5,16.9,-3.5,185,602,150,67,767,Banfield,43,27.0,9571,8150,1367,332,15,84,563,616,122,50,64,1,6557,54,245,Banfield,43,27.0,457,16.93,266,77,27,33,39,15,34,1.26,16,5,4,6,2,1,Banfield,43,27.0,550,351,264,223,63,260,507,51.3,247,320,94,226,239,789,650,6,Banfield,43,45.5,27.0,12698,1513,4535,5490,2821,416,12692,446,206,46.2,218,48.9,5838,31870,15903,315,242,52,457,276,6493,760,Banfield,43,25.4,27,2430,90,100,27.0,297,81,166,125,21,196,0.89,22,36,-14,-0.52,27.5,35.5,-8.1,-0.3,Banfield,43,27.0,74,6,4,322,298,54,563,239,351,3,5,0,1153,493,483,50.5
3,Barracas Central,34,25.7,46.0,27,297,2430,27.0,15,10,25,14,1,1,58,2,20.1,19.3,14.7,34.1,290,728,0.56,0.37,0.93,0.52,0.89,0.75,0.55,1.29,0.72,1.26,Barracas Central,3,27,27,2430,27.0,33,1.22,134,104,78.4,4,11,12,8,29.6,4,4,0,0,0.0,Barracas Central,3,27.0,33,4,1,3,3,36.4,0.25,6.4,0.24,178,447,39.8,553,133,49.9,31.9,278,61.5,48.9,512,30,5.9,24,0.89,14.8,Barracas Central,34,27.0,15,306,78,25.5,11.33,2.89,0.05,0.18,21.6,18,1,1,20.1,19.3,0.07,-5.1,-5.3,Barracas Central,34,27.0,7179,10169,70.6,134476,63140,3065,3776,81.2,3011,3817,78.9,925,1951,47.4,10,14.7,14.3,-4.7,220,614,121,51,728,Barracas Central,34,27.0,10169,8682,1457,404,15,59,447,619,96,28,48,0,7179,30,290,Barracas Central,34,27.0,524,19.41,339,64,21,39,44,17,25,0.93,18,1,0,4,1,1,Barracas Central,34,27.0,508,302,249,209,50,271,496,54.6,225,315,89,226,236,744,770,12,Barracas Central,34,46.0,27.0,13601,1666,4782,6260,2730,345,13600,550,238,43.3,291,52.9,6131,30915,15001,290,221,46,507,337,7113,720,Barracas Central,34,25.7,27,2430,90,100,27.0,297,80,184,114,26,210,0.85,15,33,-18,-0.67,20.1,38.8,-18.6,-0.69,Barracas Central,34,27.0,58,2,2,315,339,30,447,236,302,1,4,3,1090,495,457,52.0
4,Belgrano,35,27.9,48.5,27,297,2430,27.0,33,25,58,33,0,1,74,4,28.4,27.5,22.6,50.1,340,909,1.22,0.93,2.15,1.22,2.15,1.05,0.84,1.89,1.02,1.86,Belgrano,3,27,27,2430,27.0,32,1.19,117,86,74.4,8,11,8,7,25.9,2,2,0,0,0.0,Belgrano,3,27.0,32,2,0,5,1,30.9,0.25,-0.1,0.0,133,397,33.5,629,95,44.0,40.5,250,48.0,40.7,548,48,8.8,26,0.96,11.7,Belgrano,35,27.0,33,291,104,35.7,10.78,3.85,0.11,0.32,17.1,9,0,1,28.4,27.5,0.1,4.6,5.5,Belgrano,35,27.0,8124,11096,73.2,148208,64685,3573,4272,83.6,3366,4194,80.3,948,1940,48.9,25,22.6,22.7,2.4,224,724,178,69,909,Belgrano,35,27.0,11096,9764,1271,285,19,41,562,548,129,31,84,0,8124,61,272,Belgrano,35,27.0,495,18.33,344,75,20,28,23,5,56,2.07,42,7,3,3,1,0,Belgrano,35,27.0,486,294,229,187,70,232,438,53.0,206,299,85,214,250,736,751,5,Belgrano,35,48.5,27.0,14260,1721,4863,6329,3213,487,14259,421,192,45.6,211,50.1,7020,35761,17950,340,226,73,457,248,8039,899,Belgrano,35,27.9,27,2430,90,100,27.0,297,79,168,126,23,197,1.3,33,32,1,0.04,28.4,30.6,-2.2,-0.08,Belgrano,35,27.0,74,4,3,321,254,61,562,250,294,0,2,1,1156,439,438,50.1
5,Boca Juniors,39,27.2,56.2,27,297,2430,27.0,28,18,46,27,1,1,78,6,33.3,32.5,23.7,56.2,427,1054,1.04,0.67,1.7,1.0,1.67,1.23,0.88,2.11,1.2,2.08,Boca Juniors,2,27,27,2430,27.0,23,0.85,105,80,80.0,11,9,7,11,40.7,4,2,2,0,50.0,Boca Juniors,2,27.0,23,2,1,5,0,30.5,0.28,7.5,0.28,63,257,24.5,551,140,31.8,32.5,228,36.0,33.4,410,21,5.1,13,0.48,12.9,Boca Juniors,39,27.0,28,283,105,37.1,10.48,3.89,0.1,0.26,17.9,11,1,1,33.3,32.5,0.12,-5.3,-5.5,Boca Juniors,39,27.0,10148,12974,78.2,185950,65077,4188,4810,87.1,4573,5391,84.8,1120,2092,53.5,18,23.7,22.4,-5.7,198,795,187,47,1054,Boca Juniors,39,27.0,12974,11504,1433,400,26,125,565,603,153,38,76,0,10148,37,277,Boca Juniors,39,27.0,484,17.93,346,46,36,25,22,9,46,1.7,31,1,10,3,1,0,Boca Juniors,39,27.0,490,317,223,210,57,263,475,55.4,212,261,89,172,239,729,513,6,Boca Juniors,39,56.2,27.0,15919,1539,5191,7496,3364,436,15918,508,241,47.4,241,47.4,8275,44795,23279,427,267,80,452,251,10060,1045,Boca Juniors,39,27.2,27,2430,90,100,27.0,297,82,177,115,20,206,1.56,30,23,7,0.26,33.3,34.1,-0.8,-0.03,Boca Juniors,39,27.0,78,6,4,345,350,37,565,239,317,0,4,0,1157,354,342,50.9
6,Cen. Córdoba–SdE,44,24.8,52.4,27,297,2430,27.0,28,21,49,25,3,4,58,4,27.9,24.8,20.0,44.8,403,1074,1.04,0.78,1.81,0.93,1.7,1.03,0.74,1.77,0.92,1.66,Cen. Córdoba–SdE,2,27,27,2430,27.0,36,1.33,114,77,70.2,8,7,12,6,22.2,3,2,1,0,33.3,Cen. Córdoba–SdE,2,27.0,36,2,1,4,0,33.3,0.29,-2.7,-0.1,100,328,30.5,531,124,44.8,36.8,192,46.9,40.2,323,24,7.4,23,0.85,13.9,Cen. Córdoba–SdE,44,27.0,28,310,89,28.7,11.48,3.3,0.08,0.28,20.3,23,3,4,27.9,24.8,0.08,0.1,0.2,Cen. Córdoba–SdE,44,27.0,9378,12343,76.0,173017,64906,3991,4622,86.3,4120,4944,83.3,1075,2103,51.1,21,20.0,17.8,1.0,230,815,141,41,1074,Cen. Córdoba–SdE,44,27.0,12343,10996,1304,365,25,130,402,574,110,44,46,0,9378,43,302,Cen. Córdoba–SdE,44,27.0,557,20.63,372,52,46,27,47,13,48,1.78,35,2,5,3,3,0,Cen. Córdoba–SdE,44,27.0,488,307,225,219,44,212,470,45.1,258,282,57,225,239,727,517,6,Cen. Córdoba–SdE,44,52.4,27.0,15467,1358,4525,8003,3108,418,15463,566,246,43.5,294,51.9,7849,42175,21566,403,314,92,477,269,9290,1062,Cen. Córdoba–SdE,44,24.8,27,2430,90,100,27.0,297,80,179,117,24,198,1.15,29,36,-7,-0.26,27.9,29.5,-1.6,-0.06,Cen. Córdoba–SdE,44,27.0,58,4,0,334,316,43,402,239,307,3,3,0,1292,337,410,45.1
7,Defensa y Just,37,26.1,53.7,27,297,2430,27.0,25,21,46,24,1,1,76,6,30.1,29.3,21.4,50.8,352,1027,0.93,0.78,1.7,0.89,1.67,1.11,0.79,1.91,1.09,1.88,Defensa y Just,2,27,27,2430,27.0,33,1.22,102,68,70.6,7,11,9,8,29.6,6,3,3,0,50.0,Defensa y Just,2,27.0,33,3,1,3,2,34.3,0.29,3.3,0.12,164,388,42.3,666,111,39.5,37.9,281,44.5,38.7,468,19,4.1,12,0.44,11.9,Defensa y Just,37,27.0,25,361,107,29.6,13.37,3.96,0.07,0.22,19.7,17,1,1,30.1,29.3,0.08,-5.1,-5.3,Defensa y Just,37,27.0,9393,12293,76.4,175522,71836,3990,4647,85.9,4008,4805,83.4,1187,2148,55.3,21,21.4,23.0,-0.4,273,870,188,66,1027,Defensa y Just,37,27.0,12293,10939,1319,357,18,102,508,494,128,33,69,1,9393,35,279,Defensa y Just,37,27.0,640,23.7,454,72,31,36,38,9,43,1.59,33,2,2,5,1,0,Defensa y Just,37,27.0,438,268,198,186,54,226,428,52.8,202,317,88,229,248,686,661,2,Defensa y Just,37,53.7,27.0,15547,1729,5061,7134,3503,444,15546,442,199,45.0,223,50.5,7836,39128,20061,352,294,67,525,244,9295,1019,Defensa y Just,37,26.1,27,2430,90,100,27.0,297,79,167,126,24,196,1.19,27,33,-6,-0.22,30.1,33.2,-3.1,-0.12,Defensa y Just,37,27.0,76,6,3,296,293,35,508,248,268,1,6,2,1210,491,444,52.5
8,Deportivo Riestra,36,29.3,32.3,27,297,2430,27.0,26,14,40,23,3,4,66,5,26.5,23.3,17.0,40.3,186,673,0.96,0.52,1.48,0.85,1.37,0.98,0.63,1.61,0.86,1.49,Deportivo Riestra,2,27,27,2430,27.0,27,1.0,122,95,81.1,8,11,8,12,44.4,4,4,0,0,0.0,Deportivo Riestra,2,27.0,27,4,1,2,0,35.9,0.27,8.9,0.33,263,730,36.0,643,37,79.5,54.7,282,77.7,57.5,616,42,6.8,35,1.3,19.5,Deportivo Riestra,36,27.0,26,262,92,35.1,9.7,3.41,0.09,0.25,17.7,8,3,4,26.5,23.3,0.09,-0.5,-0.3,Deportivo Riestra,36,27.0,3905,7183,54.4,83738,51420,1527,2156,70.8,1473,2406,61.2,790,2134,37.0,14,17.0,19.3,-3.0,182,542,158,33,673,Deportivo Riestra,36,27.0,7183,5867,1284,323,26,26,379,532,92,25,61,0,3905,32,216,Deportivo Riestra,36,27.0,439,16.26,260,72,14,38,47,8,42,1.56,28,4,1,4,4,1,Deportivo Riestra,36,27.0,501,318,244,196,61,238,470,50.6,232,327,84,243,259,760,854,4,Deportivo Riestra,36,32.3,27.0,10540,1634,3879,4112,2670,451,10536,375,164,43.7,196,52.3,3602,19940,9638,186,151,39,462,240,3844,664,Deportivo Riestra,36,29.3,27,2430,90,100,27.0,297,79,174,126,26,197,1.3,26,27,-1,-0.04,26.5,33.6,-7.2,-0.26,Deportivo Riestra,36,27.0,66,5,2,348,277,32,379,259,318,4,4,0,1036,508,608,45.5
9,Estudiantes–LP,37,27.9,55.9,27,297,2430,27.0,35,23,58,32,3,5,66,1,32.6,28.8,22.9,51.7,386,1260,1.3,0.85,2.15,1.19,2.04,1.21,0.85,2.05,1.07,1.91,Estudiantes–LP,2,27,27,2430,27.0,34,1.26,103,71,70.9,8,12,7,5,18.5,4,4,0,0,0.0,Estudiantes–LP,2,27.0,34,4,0,4,2,33.9,0.3,1.9,0.07,92,255,36.1,503,143,30.2,29.3,209,49.3,42.4,417,35,8.4,18,0.67,8.0,Estudiantes–LP,37,27.0,35,358,123,34.4,13.26,4.56,0.09,0.26,18.9,9,3,5,32.6,28.8,0.08,2.4,3.2,Estudiantes–LP,37,27.0,10699,13795,77.6,197460,74388,4451,5204,85.5,4782,5659,84.5,1245,2221,56.1,23,22.9,24.1,0.1,274,1000,209,71,1260,Estudiantes–LP,37,27.0,13795,12435,1318,319,21,92,586,619,111,35,65,0,10699,42,301,Estudiantes–LP,37,27.0,631,23.37,462,60,33,35,29,12,62,2.3,46,5,3,7,1,0,Estudiantes–LP,37,27.0,485,301,188,244,53,215,450,47.8,235,318,80,238,276,761,581,6,Estudiantes–LP,37,55.9,27.0,17005,1389,4584,8696,3889,552,17000,505,250,49.5,233,46.1,8832,42174,22202,386,337,91,487,262,10607,1247,Estudiantes–LP,37,27.9,27,2430,90,100,27.0,297,81,184,112,24,195,1.33,36,34,2,0.07,32.6,28.7,3.8,0.14,Estudiantes–LP,37,27.0,66,1,1,329,286,42,586,276,301,2,4,2,1298,519,524,49.8
