,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alavés,29,26.6,45.3,38,418,3420,38.0,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,1.0,0.53,1.53,0.76,1.29,1.13,0.67,1.79,0.9,1.57,Alavés,3,38,38,3419,38.0,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0,Alavés,3,38.0,48,11,2,4,2,46.0,0.29,0.0,0.0,361,877,41.2,869,82,71.5,47.7,307,83.4,58.6,552,36,6.5,31,0.82,12.7,Alavés,29,38.0,38,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,Alavés,29,38.0,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,Alavés,29,38.0,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,Alavés,29,38.0,690,18.16,465,95,26,41,48,15,61,1.61,39,3,3,7,9,0,Alavés,29,38.0,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10,Alavés,29,45.3,38.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,Alavés,29,26.6,38,3420,90,100,38.0,418,82,254,161,21,275,1.11,38,48,-10,-0.26,42.8,47.0,-4.2,-0.11,Alavés,29,38.0,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9
1,Athletic Club,31,26.9,48.4,38,418,3420,38.0,53,40,93,50,3,6,64,3,53.0,48.2,36.7,84.9,682,1579,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,Athletic Club,3,38,38,3417,38.0,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0,Athletic Club,3,38.0,29,3,2,4,1,31.5,0.25,3.5,0.09,190,540,35.2,948,157,39.9,34.4,229,70.7,52.7,449,41,9.1,48,1.26,15.5,Athletic Club,31,38.0,53,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8,Athletic Club,31,38.0,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579,Athletic Club,31,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,Athletic Club,31,38.0,832,21.89,630,65,52,38,27,20,92,2.42,63,8,7,8,6,0,Athletic Club,31,38.0,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25,Athletic Club,31,48.4,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,Athletic Club,31,26.9,38,3420,90,100,38.0,418,80,226,189,23,253,1.84,54,29,25,0.66,53.0,37.8,15.2,0.4,Athletic Club,31,38.0,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1
2,Atlético Madrid,24,28.4,52.6,38,418,3420,38.0,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,1.79,1.34,3.13,1.63,2.97,1.7,1.26,2.96,1.56,2.82,Atlético Madrid,2,38,38,3420,38.0,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0,Atlético Madrid,2,38.0,30,5,1,3,2,25.7,0.19,-2.3,-0.06,110,286,38.5,683,194,24.3,30.2,323,37.2,34.9,511,30,5.9,28,0.74,14.0,Atlético Madrid,24,38.0,68,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,Atlético Madrid,24,38.0,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,Atlético Madrid,24,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,Atlético Madrid,24,38.0,826,21.74,657,49,39,42,24,15,123,3.24,100,1,7,7,5,3,Atlético Madrid,24,38.0,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25,Atlético Madrid,24,52.6,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,Atlético Madrid,24,28.4,38,3420,90,100,38.0,418,78,228,188,27,242,2.0,68,30,38,1.0,64.6,33.4,31.2,0.82,Atlético Madrid,24,38.0,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4
3,Barcelona,28,24.7,68.3,38,418,3420,38.0,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,2.61,1.89,4.5,2.42,4.32,2.41,1.78,4.18,2.24,4.02,Barcelona,3,38,38,3420,38.0,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0,Barcelona,3,38.0,39,4,0,3,0,35.1,0.3,-3.9,-0.1,62,172,36.0,1139,181,11.9,25.1,194,19.1,27.7,356,15,4.2,158,4.16,20.2,Barcelona,28,38.0,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,Barcelona,28,38.0,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,Barcelona,28,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,Barcelona,28,38.0,1205,31.71,928,60,79,71,53,14,172,4.53,127,5,17,10,12,1,Barcelona,28,38.0,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14,Barcelona,28,68.3,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,Barcelona,28,24.7,38,3420,90,100,38.0,418,80,237,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3,Barcelona,28,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9
4,Betis,36,27.5,52.4,38,418,3420,38.0,55,37,92,48,7,10,75,4,54.7,46.9,37.5,84.5,679,1486,1.45,0.97,2.42,1.26,2.24,1.44,0.99,2.43,1.23,2.22,Betis,3,38,38,3420,38.0,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0,Betis,3,38.0,50,4,2,8,1,49.1,0.33,0.1,0.0,115,376,30.6,1027,177,28.6,31.2,230,35.7,34.3,516,30,5.8,51,1.34,11.7,Betis,36,38.0,55,518,176,34.0,13.63,4.63,0.09,0.27,18.1,14,7,10,54.7,46.9,0.09,0.3,1.1,Betis,36,38.0,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,Betis,36,38.0,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,Betis,36,38.0,944,24.84,718,62,59,48,40,17,100,2.63,72,6,4,9,8,1,Betis,36,38.0,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19,Betis,36,52.4,38.0,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,679,532,228,676,378,15627,1468,Betis,36,27.5,38,3420,90,100,38.0,418,80,237,179,22,230,1.58,57,50,7,0.18,54.7,50.6,4.1,0.11,Betis,36,38.0,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3
5,Celta Vigo,30,26.9,53.6,38,418,3420,38.0,58,40,98,50,8,9,84,6,54.2,47.3,38.4,85.7,709,1659,1.53,1.05,2.58,1.32,2.37,1.43,1.01,2.44,1.24,2.26,Celta Vigo,2,38,38,3420,38.0,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0,Celta Vigo,2,38.0,57,3,0,9,2,48.9,0.32,-6.1,-0.16,69,242,28.5,805,210,18.4,27.3,282,33.3,32.9,501,27,5.4,49,1.29,14.0,Celta Vigo,30,38.0,58,442,167,37.8,11.63,4.39,0.11,0.3,17.9,19,8,9,54.2,47.3,0.11,3.8,2.7,Celta Vigo,30,38.0,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659,Celta Vigo,30,38.0,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,Celta Vigo,30,38.0,789,20.76,607,41,42,57,30,12,98,2.58,77,1,5,8,7,0,Celta Vigo,30,38.0,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30,Celta Vigo,30,53.6,38.0,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,709,500,218,558,296,17691,1649,Celta Vigo,30,26.9,38,3420,90,100,38.0,418,79,227,189,23,265,1.45,59,57,2,0.05,54.2,43.4,10.9,0.29,Celta Vigo,30,38.0,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1
6,Espanyol,27,25.2,39.8,38,418,3420,38.0,38,27,65,33,5,5,88,1,34.4,30.5,24.5,55.0,497,1000,1.0,0.71,1.71,0.87,1.58,0.91,0.65,1.55,0.8,1.45,Espanyol,1,38,38,3420,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,Espanyol,1,38.0,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,930,197,41.9,34.8,326,41.7,34.9,670,64,9.6,35,0.92,12.0,Espanyol,27,38.0,38,351,98,27.9,9.24,2.58,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,3.6,2.5,Espanyol,27,38.0,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000,Espanyol,27,38.0,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,Espanyol,27,38.0,632,16.63,431,73,36,35,45,12,68,1.79,41,8,3,5,10,1,Espanyol,27,38.0,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21,Espanyol,27,39.8,38.0,18406,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,52875,28280,497,359,109,561,241,10490,991,Espanyol,27,25.2,38,3420,90,100,38.0,418,81,238,180,21,270,1.11,40,51,-11,-0.29,34.4,53.8,-19.4,-0.51,Espanyol,27,38.0,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4
7,Getafe,30,27.7,41.8,38,418,3420,38.0,34,21,55,29,5,5,110,7,36.8,33.0,23.9,56.9,368,981,0.89,0.55,1.45,0.76,1.32,0.97,0.63,1.6,0.87,1.5,Getafe,1,38,38,3420,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,Getafe,1,38.0,39,8,0,5,0,42.0,0.29,3.0,0.08,300,799,37.5,711,68,73.4,48.8,312,88.8,60.1,479,25,5.2,39,1.03,14.7,Getafe,30,38.0,34,430,122,28.4,11.32,3.21,0.07,0.24,19.4,17,5,5,36.8,33.0,0.08,-2.8,-4.0,Getafe,30,38.0,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981,Getafe,30,38.0,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,Getafe,30,38.0,736,19.37,483,94,45,37,58,19,56,1.47,33,7,1,8,5,2,Getafe,30,38.0,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15,Getafe,30,41.8,38.0,17605,1770,5183,7998,4646,675,17600,631,265,42.0,312,49.4,7825,40262,19034,368,311,105,719,357,8611,966,Getafe,30,27.7,38,3420,90,100,38.0,418,81,251,164,21,247,1.11,34,39,-5,-0.13,36.8,46.2,-9.4,-0.25,Getafe,30,38.0,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1
8,Girona,30,27.5,56.3,38,418,3420,38.0,43,31,74,39,4,5,76,2,42.5,38.6,31.6,70.2,765,1691,1.13,0.82,1.95,1.03,1.84,1.12,0.83,1.95,1.02,1.85,Girona,3,38,38,3420,38.0,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0,Girona,3,38.0,60,3,1,7,1,53.0,0.3,-6.0,-0.16,107,328,32.6,1049,152,23.6,29.4,251,31.9,33.2,463,40,8.6,35,0.92,12.6,Girona,30,38.0,43,397,134,33.8,10.45,3.53,0.1,0.29,17.7,13,4,5,42.5,38.6,0.1,0.5,0.4,Girona,30,38.0,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691,Girona,30,38.0,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,Girona,30,38.0,727,19.13,562,60,34,37,23,11,77,2.03,56,6,2,9,3,1,Girona,30,38.0,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34,Girona,30,56.3,38.0,25088,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,86324,44108,765,553,180,522,312,18040,1684,Girona,30,27.5,38,3420,90,100,38.0,418,81,245,172,22,249,1.08,44,60,-16,-0.42,42.5,50.4,-8.0,-0.21,Girona,30,38.0,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3
9,Las Palmas,34,26.8,50.7,38,418,3420,38.0,38,27,65,35,3,4,110,4,36.3,33.2,26.3,59.4,499,1210,1.0,0.71,1.71,0.92,1.63,0.96,0.69,1.65,0.87,1.56,Las Palmas,2,38,38,3420,38.0,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,Las Palmas,2,38.0,61,5,0,4,3,63.7,0.31,5.7,0.15,193,584,33.0,1203,195,39.5,32.5,318,34.3,33.3,561,22,3.9,36,0.95,15.6,Las Palmas,34,38.0,38,409,134,32.8,10.76,3.53,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,1.7,1.8,Las Palmas,34,38.0,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210,Las Palmas,34,38.0,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,Las Palmas,34,38.0,741,19.5,543,65,39,39,46,9,68,1.79,54,2,2,5,4,1,Las Palmas,34,38.0,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28,Las Palmas,34,50.7,38.0,22497,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,56979,28603,499,346,113,547,275,14222,1197,Las Palmas,34,26.8,38,3420,90,100,38.0,418,80,226,189,21,246,0.84,40,61,-21,-0.55,36.3,66.8,-30.5,-0.8,Las Palmas,34,38.0,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5
