,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Angers,30,27.5,41.2,34,374,3060,34.0,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,0.91,0.5,1.41,0.76,1.26,1.06,0.69,1.75,0.92,1.61,Angers,2,34,34,3060,34.0,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0,Angers,2,34.0,53,4,0,7,0,65.9,0.34,12.9,0.38,146,446,32.7,762,184,39.0,35.8,283,52.7,42.1,551,49,8.9,22,0.65,10.7,Angers,30,34.0,31,311,91,29.3,9.15,2.68,0.08,0.29,18.3,13,5,6,36.0,31.3,0.1,-5.0,-5.3,Angers,30,34.0,11082,14057,78.8,195284,73447,4970,5624,88.4,4828,5656,85.4,1022,2043,50.0,17,23.5,22.7,-6.5,216,777,200,63,953,Angers,30,34.0,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256,Angers,30,34.0,546,16.06,389,49,25,33,29,21,55,1.62,34,4,3,4,8,2,Angers,30,34.0,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20,Angers,30,41.2,34.0,17919,2146,6594,7732,3813,512,17913,613,249,40.6,331,54.0,9398,51759,26951,502,365,98,493,297,10991,943,Angers,30,27.5,34,3060,90,100,34.0,374,81,216,157,20,148,1.06,32,53,-21,-0.62,36.0,57.8,-21.8,-0.64,Angers,30,34.0,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8
1,Auxerre,29,25.9,42.5,34,374,3060,34.0,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,1.38,1.03,2.41,1.26,2.29,1.21,0.94,2.15,1.1,2.04,Auxerre,2,34,34,3060,34.0,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0,Auxerre,2,34.0,51,6,0,7,3,59.3,0.31,11.3,0.33,221,680,32.5,944,178,54.6,42.0,244,67.6,49.8,556,31,5.6,42,1.24,14.6,Auxerre,29,34.0,47,375,144,38.4,11.03,4.24,0.11,0.3,17.5,10,4,5,41.0,37.3,0.1,6.0,5.7,Auxerre,29,34.0,11002,14162,77.7,201495,77527,4812,5517,87.2,4576,5349,85.5,1301,2498,52.1,35,32.0,24.3,3.0,296,804,212,68,1084,Auxerre,29,34.0,14162,12617,1497,451,34,168,542,584,134,49,65,0,11002,48,287,Auxerre,29,34.0,688,20.24,512,58,35,38,25,20,87,2.56,52,10,8,7,9,1,Auxerre,29,34.0,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17,Auxerre,29,42.5,34.0,18188,2265,6744,7753,3877,614,18183,622,258,41.5,324,52.1,10101,51428,24986,484,350,137,452,346,10927,1078,Auxerre,29,25.9,34,3060,90,100,34.0,374,83,215,155,16,151,1.24,48,51,-3,-0.09,41.0,58.6,-17.6,-0.52,Auxerre,29,34.0,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4
2,Brest,30,28.2,48.4,34,374,3060,34.0,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096,1.53,0.94,2.47,1.32,2.26,1.33,0.87,2.2,1.13,1.99,Brest,2,34,34,3060,34.0,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,Brest,2,34.0,59,8,1,5,2,49.0,0.3,-8.0,-0.23,224,542,41.3,944,141,41.9,36.0,242,60.3,46.2,489,34,7.0,56,1.65,16.2,Brest,30,34.0,52,409,151,36.9,12.03,4.44,0.11,0.3,17.0,7,7,9,45.4,38.3,0.1,6.6,6.7,Brest,30,34.0,12678,16021,79.1,235901,85305,5284,6055,87.3,5575,6467,86.2,1526,2732,55.9,32,29.4,30.3,2.6,302,929,189,64,1096,Brest,30,34.0,16021,14404,1575,485,41,133,641,614,142,71,62,0,12678,42,292,Brest,30,34.0,730,21.47,498,81,25,48,55,23,85,2.5,51,6,4,13,8,3,Brest,30,34.0,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14,Brest,30,48.4,34.0,19884,2240,6822,8962,4265,644,19875,490,209,42.7,245,50.0,10454,55353,26772,470,348,117,509,246,12586,1084,Brest,30,28.2,34,3060,90,100,34.0,374,82,226,147,20,152,1.47,52,59,-7,-0.21,45.4,57.4,-12.0,-0.35,Brest,30,34.0,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2
3,Le Havre,31,26.9,43.1,34,374,3060,34.0,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051,1.09,0.62,1.71,0.82,1.44,1.22,0.72,1.94,0.98,1.7,Le Havre,2,34,34,3060,34.0,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,Le Havre,2,34.0,71,5,1,8,1,72.9,0.4,2.9,0.09,135,334,40.4,817,147,31.0,32.4,238,34.0,31.1,546,33,6.0,15,0.44,10.5,Le Havre,31,34.0,37,339,97,28.6,9.97,2.85,0.08,0.29,17.8,14,9,10,41.4,33.4,0.1,-4.4,-5.4,Le Havre,31,34.0,11125,14115,78.8,205190,72072,4445,5095,87.2,5289,6120,86.4,1156,2182,53.0,21,24.4,25.8,-3.4,230,786,201,85,1051,Le Havre,31,34.0,14115,12577,1488,442,24,82,695,572,131,89,31,0,11125,50,274,Le Havre,31,34.0,588,17.29,386,57,32,45,53,15,62,1.82,38,3,4,8,8,1,Le Havre,31,34.0,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24,Le Havre,31,43.1,34.0,17975,2197,6737,7822,3637,581,17965,512,233,45.5,236,46.1,9506,52339,26445,538,347,93,448,311,11013,1033,Le Havre,31,26.9,34,3060,90,100,34.0,374,82,224,147,19,159,1.0,40,71,-31,-0.91,41.4,62.8,-21.4,-0.63,Le Havre,31,34.0,56,4,1,379,403,50,695,324,387,6,6,1,1399,451,436,50.8
4,Lens,33,27.1,54.1,34,374,3060,34.0,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451,1.18,0.76,1.94,1.03,1.79,1.52,1.06,2.59,1.42,2.48,Lens,3,34,34,3060,34.0,39,1.15,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,Lens,3,34.0,39,8,2,4,0,48.1,0.29,9.1,0.27,142,340,41.8,852,162,31.7,32.3,201,34.8,31.0,381,41,10.8,34,1.0,11.6,Lens,33,34.0,40,484,148,30.6,14.24,4.35,0.07,0.24,16.7,7,5,5,51.8,48.3,0.1,-11.8,-13.3,Lens,33,34.0,14837,18173,81.6,244876,87655,7330,8209,89.3,5806,6685,86.9,1219,2163,56.4,26,36.2,41.1,-10.2,365,1117,354,100,1451,Lens,33,34.0,18173,16605,1484,396,59,78,706,628,186,87,71,0,14837,84,346,Lens,33,34.0,859,25.26,647,70,42,66,22,12,65,1.91,47,2,5,8,2,1,Lens,33,34.0,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19,Lens,33,54.1,34.0,22167,1929,6346,10186,5833,848,22162,582,249,42.8,297,51.0,12325,60837,30074,570,479,122,576,341,14727,1440,Lens,33,27.1,34,3060,90,100,34.0,374,81,214,158,19,146,1.53,42,39,3,0.09,51.8,45.3,6.5,0.19,Lens,33,34.0,86,8,3,499,360,84,706,321,365,2,9,0,1576,450,414,52.1
5,Lille,27,26.1,57.6,34,374,3060,34.0,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616,1.53,0.85,2.38,1.32,2.18,1.61,1.03,2.64,1.4,2.43,Lille,1,34,34,3060,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,Lille,1,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,874,144,28.4,29.6,206,19.4,24.5,373,21,5.6,24,0.71,13.9,Lille,27,34.0,52,424,154,36.3,12.47,4.53,0.11,0.29,16.6,15,7,10,54.7,47.5,0.12,-2.7,-2.5,Lille,27,34.0,16765,19728,85.0,293593,93730,7248,8031,90.3,7757,8568,90.5,1382,2203,62.7,29,35.1,40.0,-6.1,318,1393,345,70,1616,Lille,27,34.0,19728,18220,1460,415,42,101,535,602,168,50,70,1,16765,48,308,Lille,27,34.0,769,22.62,582,62,33,52,31,9,84,2.47,51,4,4,14,9,2,Lille,27,34.0,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22,Lille,27,57.6,34.0,23278,1932,6099,11352,5991,854,23268,598,283,47.3,288,48.2,13642,71203,37395,669,512,158,513,300,16614,1603,Lille,27,26.1,34,3060,90,100,34.0,374,82,218,156,20,149,1.76,52,36,16,0.47,54.7,42.5,12.2,0.36,Lille,27,34.0,77,2,1,410,376,48,535,271,356,8,4,1,1535,392,350,52.8
6,Lyon,31,27.4,56.4,34,374,3060,34.0,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615,1.82,1.35,3.18,1.59,2.94,1.77,1.31,3.08,1.54,2.85,Lyon,2,34,34,3060,34.0,46,1.35,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0.0,Lyon,2,34.0,46,3,1,6,0,49.2,0.29,3.2,0.09,102,314,32.5,848,185,29.7,27.5,218,28.4,28.9,422,26,6.2,29,0.85,7.0,Lyon,31,34.0,62,434,173,39.9,12.76,5.09,0.12,0.31,16.2,6,8,10,60.3,52.5,0.12,1.7,1.5,Lyon,31,34.0,16061,19063,84.3,263677,88666,7944,8738,90.9,6605,7372,89.6,1102,1978,55.7,46,44.4,52.5,1.6,350,1215,371,58,1615,Lyon,31,34.0,19063,17487,1505,416,61,112,598,606,185,79,75,0,16061,71,353,Lyon,31,34.0,802,23.59,637,52,34,51,24,4,114,3.35,90,2,7,9,6,0,Lyon,31,34.0,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25,Lyon,31,56.4,34.0,22636,2155,6644,10377,5810,999,22626,546,238,43.6,277,50.7,13430,67925,36807,709,483,201,456,281,15904,1600,Lyon,31,27.4,34,3060,90,100,34.0,374,83,232,143,18,163,1.68,65,46,19,0.56,60.3,45.7,14.6,0.43,Lyon,31,34.0,60,0,0,407,357,71,598,282,340,6,3,0,1422,305,332,47.9
7,Marseille,32,26.7,63.3,34,374,3060,34.0,70,49,119,62,8,10,64,6,63.8,55.8,44.6,100.5,664,1714,2.06,1.44,3.5,1.82,3.26,1.88,1.31,3.19,1.64,2.96,Marseille,1,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,Marseille,1,34.0,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1023,133,16.1,24.4,179,20.7,22.5,309,28,9.1,59,1.74,18.3,Marseille,32,34.0,70,481,185,38.5,14.15,5.44,0.13,0.34,16.7,15,8,10,63.8,55.8,0.12,6.2,6.2,Marseille,32,34.0,20427,23240,87.9,323783,101486,10229,10983,93.1,8543,9350,91.4,1062,1793,59.2,49,44.6,43.4,4.4,381,1513,325,69,1714,Marseille,32,34.0,23240,21718,1469,454,58,75,609,578,177,80,69,0,20427,53,328,Marseille,32,34.0,878,25.82,648,71,55,64,25,15,129,3.79,99,3,8,8,7,4,Marseille,32,34.0,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31,Marseille,32,63.3,34.0,26602,1928,6930,13580,6271,850,26592,607,278,45.8,300,49.4,16260,75565,39382,664,499,197,471,313,20224,1703,Marseille,32,26.7,34,3060,90,100,34.0,374,81,225,147,21,158,1.91,74,47,27,0.79,63.8,45.2,18.6,0.55,Marseille,32,34.0,64,6,4,394,371,53,609,280,358,5,6,2,1485,312,249,55.6
8,Monaco,28,24.4,55.0,34,374,3060,34.0,63,49,112,57,6,7,60,4,72.8,67.7,55.3,123.0,670,1638,1.85,1.44,3.29,1.68,3.12,2.14,1.63,3.77,1.99,3.62,Monaco,2,34,34,3060,34.0,41,1.21,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0.0,Monaco,2,34.0,41,3,1,3,0,38.3,0.29,-2.7,-0.08,77,269,28.6,737,146,27.1,30.5,216,31.9,31.9,379,30,7.9,38,1.12,14.0,Monaco,28,34.0,63,493,180,36.5,14.5,5.29,0.12,0.32,15.7,9,6,7,72.8,67.7,0.14,-9.8,-10.7,Monaco,28,34.0,14561,17916,81.3,245412,90154,6877,7784,88.3,6192,7109,87.1,1143,2134,53.6,49,55.3,54.1,-6.3,390,1232,391,59,1638,Monaco,28,34.0,17916,16257,1590,494,88,88,563,622,184,87,70,0,14561,69,288,Monaco,28,34.0,868,25.53,658,67,38,56,31,18,106,3.12,77,7,4,11,5,2,Monaco,28,34.0,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18,Monaco,28,55.0,34.0,21883,1745,5633,10914,5558,969,21876,613,266,43.4,300,48.9,12485,65950,34414,670,534,187,601,341,14447,1629,Monaco,28,24.4,34,3060,90,100,34.0,374,82,219,153,19,152,1.79,63,41,22,0.65,72.8,34.8,38.0,1.12,Monaco,28,34.0,60,4,2,462,444,69,563,357,429,3,3,0,1763,426,421,50.3
9,Montpellier,35,26.1,45.3,34,374,3060,34.0,23,13,36,20,3,4,87,7,33.5,30.4,23.0,53.4,529,1039,0.68,0.38,1.06,0.59,0.97,0.98,0.68,1.66,0.89,1.57,Montpellier,2,34,34,3060,34.0,79,2.32,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,Montpellier,2,34.0,79,8,0,5,3,66.2,0.3,-9.8,-0.29,197,496,39.7,840,134,45.1,36.2,271,43.2,35.4,463,28,6.0,29,0.85,14.3,Montpellier,35,34.0,23,371,111,29.9,10.91,3.26,0.05,0.18,18.7,20,3,4,33.5,30.4,0.09,-10.5,-10.4,Montpellier,35,34.0,11442,14420,79.3,210740,76029,4844,5530,87.6,4897,5675,86.3,1384,2425,57.1,13,23.0,23.6,-10.0,255,875,169,75,1039,Montpellier,35,34.0,14420,12786,1569,460,45,109,646,575,155,55,75,0,11442,65,276,Montpellier,35,34.0,614,18.06,429,57,32,34,44,18,39,1.15,23,4,5,3,4,0,Montpellier,35,34.0,631,389,302,264,65,310,608,51.0,298,368,123,245,273,904,733,25,Montpellier,35,45.3,34.0,18133,2072,6036,8263,4032,540,18129,609,262,43.0,302,49.6,9615,54614,27149,529,362,138,478,296,11348,1030,Montpellier,35,26.1,34,3060,90,100,34.0,374,81,219,151,23,147,0.47,23,79,-56,-1.65,33.5,63.3,-29.9,-0.88,Montpellier,35,34.0,87,7,2,427,438,65,646,273,389,3,9,3,1349,374,442,45.8
