,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Atlanta Utd,28,27.4,49.5,34,374,3060,34.0,45,30,75,40,5,7,54,2,51.4,45.9,37.2,83.0,667,1303,1.32,0.88,2.21,1.18,2.06,1.51,1.09,2.61,1.35,2.44,Atlanta Utd,2,34,34,3058,34.0,49,1.44,164,113,72.0,10,10,14,5,14.7,6,3,3,0,50.0,Atlanta Utd,2,34.0,49,3,2,8,1,49.9,0.28,1.9,0.06,238,500,47.6,1004,150,39.8,29.5,268,37.3,33.7,450,25,5.6,29,0.85,10.7,Atlanta Utd,28,34.0,45,486,157,32.3,14.29,4.62,0.08,0.25,17.3,18,5,7,51.4,45.9,0.1,-6.4,-5.9,Atlanta Utd,28,34.0,13502,16585,81.4,249306,92313,5775,6429,89.8,5750,6589,87.3,1631,2747,59.4,30,37.2,37.9,-7.2,373,1066,276,83,1303,Atlanta Utd,28,34.0,16585,15055,1484,370,32,126,697,576,187,61,103,0,13502,46,307,Atlanta Utd,28,34.0,861,25.32,635,75,46,53,42,10,76,2.24,62,3,2,5,4,0,Atlanta Utd,28,34.0,513,331,258,201,54,253,486,52.1,233,359,129,230,287,800,711,9,Atlanta Utd,28,49.5,34.0,20157,2298,6860,8528,4939,863,20150,520,247,47.5,244,46.9,11338,60312,31599,667,394,202,456,241,13360,1286,Atlanta Utd,28,27.4,34,3060,90,100,34.0,374,83,239,136,19,169,1.18,46,49,-3,-0.09,51.4,48.9,2.5,0.07,Atlanta Utd,28,34.0,54,2,1,369,309,46,697,287,331,6,6,1,1425,400,385,51.0
1,Austin,26,28.6,49.9,34,374,3060,34.0,39,29,68,35,4,6,87,3,39.6,35.0,26.2,61.2,442,1263,1.15,0.85,2.0,1.03,1.88,1.16,0.77,1.94,1.03,1.8,Austin,1,34,34,3060,34.0,48,1.41,178,129,77.5,11,9,14,8,23.5,9,8,1,0,11.1,Austin,1,34.0,48,8,2,3,0,54.6,0.26,6.6,0.2,181,481,37.6,1173,202,29.4,31.3,253,53.8,43.1,482,35,7.3,40,1.18,13.1,Austin,26,34.0,39,338,100,29.6,9.94,2.94,0.1,0.35,17.0,9,4,6,39.6,35.0,0.11,-0.6,0.0,Austin,26,34.0,12943,15909,81.4,244929,89201,5142,5784,88.9,5997,6816,88.0,1565,2605,60.1,29,26.2,28.5,2.8,248,1031,276,86,1263,Austin,26,34.0,15909,14317,1528,458,25,170,626,590,145,63,54,0,12943,64,274,Austin,26,34.0,615,18.09,462,59,29,23,32,10,73,2.15,56,4,5,1,5,2,Austin,26,34.0,464,284,241,152,71,216,489,44.2,273,383,152,231,235,699,659,12,Austin,26,49.9,34.0,19160,2382,6994,7870,4434,651,19154,504,231,45.8,234,46.4,10372,52470,25620,442,319,102,408,255,12780,1247,Austin,26,28.6,34,3060,90,100,34.0,374,82,221,152,19,137,1.24,39,48,-9,-0.26,39.6,57.4,-17.8,-0.52,Austin,26,34.0,87,3,1,444,409,64,626,235,284,6,9,0,1251,356,393,47.5
2,CF Montréal,30,24.7,50.1,34,374,3060,34.0,46,36,82,42,4,4,75,3,43.7,40.6,31.1,71.6,515,1231,1.35,1.06,2.41,1.24,2.29,1.29,0.91,2.2,1.19,2.11,CF Montréal,2,34,34,3060,34.0,64,1.88,182,119,67.6,11,10,13,8,23.5,5,5,0,0,0.0,CF Montréal,2,34.0,64,5,3,8,1,64.3,0.33,1.3,0.04,77,294,26.2,1022,229,20.1,41.1,276,32.2,29.9,527,27,5.1,45,1.32,4.5,CF Montréal,30,34.0,46,357,125,35.0,10.5,3.68,0.12,0.34,18.3,12,4,4,43.7,40.6,0.12,2.3,1.4,CF Montréal,30,34.0,15650,18693,83.7,263407,90353,7442,8177,91.0,6636,7485,88.7,1184,2161,54.8,36,31.1,31.1,4.9,271,1046,222,45,1231,CF Montréal,30,34.0,18693,17252,1390,420,47,92,456,476,121,42,48,0,15650,51,298,CF Montréal,30,34.0,645,18.97,502,34,32,34,29,14,84,2.47,57,6,5,5,9,2,CF Montréal,30,34.0,486,310,247,183,56,245,463,52.9,218,369,133,236,281,767,717,13,CF Montréal,30,50.1,34.0,22136,2565,8185,9769,4335,570,22132,471,224,47.6,217,46.1,13323,62931,31637,515,427,111,505,253,15553,1218,CF Montréal,30,24.7,34,3060,90,100,34.0,374,80,217,159,22,146,1.26,48,64,-16,-0.47,43.7,58.7,-15.0,-0.44,CF Montréal,30,34.0,75,3,1,398,349,51,456,281,310,4,5,1,1546,299,354,45.8
3,Charlotte,30,27.5,44.2,34,374,3060,34.0,45,34,79,42,3,5,76,2,46.7,42.8,31.0,73.8,574,1298,1.32,1.0,2.32,1.24,2.24,1.37,0.91,2.29,1.26,2.17,Charlotte,1,34,34,3060,34.0,37,1.09,154,116,76.0,14,9,11,12,35.3,1,0,1,0,100.0,Charlotte,1,34.0,37,0,1,6,0,47.5,0.31,10.5,0.31,129,351,36.8,907,167,28.7,30.9,273,33.3,33.3,512,35,6.8,59,1.74,16.7,Charlotte,30,34.0,45,382,140,36.6,11.24,4.12,0.11,0.3,16.2,14,3,5,46.7,42.8,0.11,-1.7,-0.8,Charlotte,30,34.0,12203,15338,79.6,232016,85614,4657,5285,88.1,5815,6680,87.1,1452,2661,54.6,34,31.0,30.2,3.0,297,1043,262,68,1298,Charlotte,30,34.0,15338,13728,1554,409,36,144,549,655,146,85,32,2,12203,56,218,Charlotte,30,34.0,695,20.44,524,47,49,22,36,17,74,2.18,48,5,9,4,5,3,Charlotte,30,34.0,435,254,204,156,75,217,420,51.7,203,371,131,240,251,686,713,11,Charlotte,30,44.2,34.0,18621,2290,6441,8039,4308,683,18616,467,213,45.6,225,48.2,10446,55202,29690,574,354,168,410,232,12108,1293,Charlotte,30,27.5,34,3060,90,100,34.0,374,84,233,139,16,167,1.5,46,37,9,0.26,46.7,44.6,2.1,0.06,Charlotte,30,34.0,76,2,0,357,333,56,549,251,254,4,1,0,1413,321,373,46.3
4,Chicago Fire,27,26.9,49.9,34,374,3060,34.0,40,28,68,35,5,5,68,1,44.0,40.1,31.3,71.4,568,1243,1.18,0.82,2.0,1.03,1.85,1.3,0.92,2.22,1.18,2.1,Chicago Fire,2,34,34,3060,34.0,62,1.82,168,107,67.9,7,9,18,4,11.8,8,8,0,0,0.0,Chicago Fire,2,34.0,62,8,1,2,1,58.3,0.31,-2.7,-0.08,111,355,31.3,690,164,30.6,33.9,265,54.3,43.5,382,25,6.5,33,0.97,17.0,Chicago Fire,27,34.0,40,409,143,35.0,12.03,4.21,0.09,0.24,18.1,7,5,5,44.0,40.1,0.1,-4.0,-5.1,Chicago Fire,27,34.0,13790,17177,80.3,244388,83604,6035,6765,89.2,6193,7121,87.0,1275,2477,51.5,28,31.3,31.4,-3.3,301,998,254,58,1243,Chicago Fire,27,34.0,17177,15575,1555,389,44,101,616,660,146,76,42,0,13790,47,307,Chicago Fire,27,34.0,716,21.06,560,43,32,44,19,18,68,2.0,52,1,1,8,3,3,Chicago Fire,27,34.0,571,375,266,235,70,273,553,49.4,280,381,101,280,350,921,603,18,Chicago Fire,27,49.9,34.0,20738,1889,6728,9503,4665,707,20733,538,246,45.7,268,49.8,11871,59128,28493,568,405,162,506,267,13678,1231,Chicago Fire,27,26.9,34,3060,90,100,34.0,374,81,216,160,22,137,0.88,40,62,-22,-0.65,44.0,51.8,-7.8,-0.23,Chicago Fire,27,34.0,68,1,0,429,336,47,616,350,375,3,8,1,1567,397,402,49.7
5,Colorado Rapids,25,25.5,48.9,34,374,3060,34.0,57,37,94,47,10,15,51,2,57.5,45.6,35.8,81.4,560,1568,1.68,1.09,2.76,1.38,2.47,1.69,1.05,2.74,1.34,2.39,Colorado Rapids,2,34,34,3060,34.0,60,1.76,163,105,65.0,15,5,14,6,17.6,4,3,0,1,0.0,Colorado Rapids,2,34.0,60,3,0,6,2,47.9,0.28,-10.1,-0.3,143,428,33.4,785,152,35.2,34.7,288,52.8,42.6,423,15,3.5,78,2.29,18.5,Colorado Rapids,25,34.0,57,413,151,36.6,12.15,4.44,0.11,0.31,16.8,21,10,15,57.5,45.6,0.12,-0.5,1.4,Colorado Rapids,25,34.0,13135,16406,80.1,229027,85690,5985,6744,88.7,5480,6366,86.1,1293,2414,53.6,37,35.8,40.3,1.2,317,1205,317,67,1568,Colorado Rapids,25,34.0,16406,14622,1711,420,15,74,622,744,165,61,89,0,13135,73,256,Colorado Rapids,25,34.0,763,22.44,544,75,28,45,60,11,97,2.85,61,8,1,14,10,3,Colorado Rapids,25,34.0,525,305,233,211,81,284,585,48.5,301,397,118,279,282,807,639,10,Colorado Rapids,25,48.9,34.0,20019,1771,5696,8807,5693,820,20004,553,251,45.4,267,48.3,11375,57603,28469,560,417,165,528,272,13028,1550,Colorado Rapids,25,25.5,34,3060,90,100,34.0,374,83,228,147,19,152,1.47,61,60,1,0.03,57.5,51.8,5.7,0.17,Colorado Rapids,25,34.0,51,2,1,327,384,73,622,282,305,11,4,2,1376,381,455,45.6
6,Columbus Crew,29,26.4,58.7,34,374,3060,34.0,72,52,124,69,3,6,45,5,57.9,53.2,43.3,96.5,646,1618,2.12,1.53,3.65,2.03,3.56,1.7,1.27,2.98,1.56,2.84,Columbus Crew,4,34,34,2970,34.0,40,1.21,145,105,74.5,19,9,6,12,35.3,4,3,0,1,0.0,Columbus Crew,4,34.0,40,3,2,4,0,43.6,0.29,3.6,0.11,83,254,32.7,992,164,20.7,28.2,200,24.5,28.2,355,15,4.2,31,0.94,14.5,Columbus Crew,29,34.0,72,473,173,36.6,13.91,5.09,0.15,0.4,17.2,14,3,6,57.9,53.2,0.12,14.1,15.8,Columbus Crew,29,34.0,17957,20793,86.4,299158,105243,8867,9543,92.9,7388,8223,89.8,1329,2143,62.0,52,43.3,37.7,8.7,380,1429,309,70,1618,Columbus Crew,29,34.0,20793,19222,1504,524,45,105,504,544,162,52,63,0,17957,67,326,Columbus Crew,29,34.0,873,25.68,685,49,47,46,25,21,122,3.59,93,6,4,11,4,4,Columbus Crew,29,34.0,484,282,215,190,79,247,439,56.3,192,323,77,246,276,760,455,17,Columbus Crew,29,58.7,34.0,24025,1987,7245,11074,5897,810,24019,621,301,48.5,288,46.4,14900,74789,35479,646,491,185,463,323,17692,1608,Columbus Crew,29,26.4,34,3060,90,100,34.0,374,82,222,150,18,145,1.94,72,40,32,0.94,57.9,44.1,13.9,0.41,Columbus Crew,29,34.0,45,5,1,283,451,67,504,276,282,4,4,0,1523,263,296,47.0
7,D.C. United,28,27.6,47.0,34,374,3060,34.0,52,41,93,47,5,5,95,7,52.9,48.9,38.9,87.9,477,1246,1.53,1.21,2.74,1.38,2.59,1.56,1.15,2.7,1.44,2.58,D.C. United,2,34,34,3060,34.0,70,2.06,157,89,58.6,10,10,14,2,5.9,5,5,0,0,0.0,D.C. United,2,34.0,70,5,1,8,2,60.6,0.36,-7.4,-0.22,358,815,43.9,1017,119,59.5,41.2,235,89.4,60.2,412,18,4.4,73,2.15,19.6,D.C. United,28,34.0,52,473,158,33.4,13.91,4.65,0.1,0.3,17.3,13,5,5,52.9,48.9,0.11,-0.9,-1.9,D.C. United,28,34.0,10850,14600,74.3,205411,86833,4679,5570,84.0,4412,5413,81.5,1465,2774,52.8,41,38.9,40.3,2.1,346,968,298,83,1246,D.C. United,28,34.0,14600,12972,1555,445,31,117,693,577,194,91,70,13,10850,73,286,D.C. United,28,34.0,826,24.29,570,103,40,65,34,14,93,2.74,63,10,5,8,5,2,D.C. United,28,34.0,591,372,268,242,81,308,591,52.1,283,395,120,275,314,905,608,10,D.C. United,28,47.0,34.0,18249,1793,5464,8157,4833,804,18244,496,229,46.2,245,49.4,9898,49986,23306,477,378,111,480,273,10739,1230,D.C. United,28,27.6,34,3060,90,100,34.0,374,81,230,139,22,118,1.18,52,70,-18,-0.53,52.9,51.3,1.6,0.05,D.C. United,28,34.0,95,7,4,473,382,73,693,314,372,4,5,2,1608,689,502,57.9
8,FC Cincinnati,29,26.5,53.7,34,374,3060,34.0,57,42,99,54,3,4,82,4,48.4,45.3,37.7,83.0,635,1412,1.68,1.24,2.91,1.59,2.82,1.42,1.11,2.53,1.33,2.44,FC Cincinnati,3,34,34,3060,34.0,48,1.41,144,97,70.1,18,5,11,7,20.6,6,5,1,0,16.7,FC Cincinnati,3,34.0,48,5,0,7,2,45.4,0.28,-0.6,-0.02,98,284,34.5,738,149,27.8,34.0,238,33.2,30.8,425,28,6.6,25,0.74,,FC Cincinnati,29,34.0,57,482,178,36.9,14.18,5.24,0.11,0.3,18.7,29,3,4,48.4,45.3,0.1,8.6,8.7,FC Cincinnati,29,34.0,14769,18039,81.9,260703,92306,6332,7169,88.3,6860,7744,88.6,1250,2182,57.3,42,37.7,40.0,4.3,366,1089,314,43,1412,FC Cincinnati,29,34.0,18039,16380,1573,430,55,118,418,651,172,93,33,1,14769,86,375,FC Cincinnati,29,34.0,852,25.06,616,70,58,48,49,11,100,2.94,70,6,10,7,6,1,FC Cincinnati,29,34.0,562,368,255,234,73,271,494,54.9,223,378,108,270,304,866,561,17,FC Cincinnati,29,53.7,34.0,21803,1961,6825,9914,5279,810,21799,727,316,43.5,373,51.3,12784,63356,32189,635,489,184,527,321,14663,1401,FC Cincinnati,29,26.5,34,3060,90,100,34.0,374,81,212,161,20,145,1.74,58,48,10,0.29,48.4,39.9,8.5,0.25,FC Cincinnati,29,34.0,82,4,3,451,400,86,418,304,368,2,6,2,1623,451,368,55.1
9,FC Dallas,30,27.1,48.9,34,374,3060,34.0,51,36,87,46,5,6,74,1,41.8,37.1,29.3,66.4,411,1147,1.5,1.06,2.56,1.35,2.41,1.23,0.86,2.09,1.09,1.95,FC Dallas,2,34,34,3060,34.0,56,1.65,191,134,73.3,11,8,15,7,20.6,8,5,3,0,37.5,FC Dallas,2,34.0,56,5,0,6,2,55.9,0.26,1.9,0.05,132,327,40.4,907,141,27.0,30.5,272,30.1,29.1,441,12,2.7,42,1.24,11.7,FC Dallas,30,34.0,51,414,146,35.3,12.18,4.29,0.11,0.32,18.9,16,5,6,41.8,37.1,0.09,9.2,8.9,FC Dallas,30,34.0,14097,17111,82.4,236990,89559,6986,7699,90.7,5650,6458,87.5,1151,2165,53.2,36,29.3,31.9,6.7,297,967,261,59,1147,FC Dallas,30,34.0,17111,15490,1558,462,42,99,432,607,127,55,42,0,14097,63,277,FC Dallas,30,34.0,729,21.44,563,50,22,51,30,13,90,2.65,65,7,3,7,6,2,FC Dallas,30,34.0,487,327,242,182,63,233,455,51.2,222,346,115,231,273,760,693,18,FC Dallas,30,48.9,34.0,20541,2371,7692,9015,3992,616,20535,418,181,43.3,203,48.6,11748,52570,25423,411,342,115,478,284,13976,1140,FC Dallas,30,27.1,34,3060,90,100,34.0,374,82,225,149,20,155,1.21,54,56,-2,-0.06,41.8,54.0,-12.3,-0.36,FC Dallas,30,34.0,74,1,1,430,397,63,432,273,327,4,8,2,1390,350,347,50.2
