,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,Arsenal,1,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,Arsenal,1,38.0,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1210,178,31.2,29.9,200,50.0,38.6,402,53,13.2,66,1.74,17.2,Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,Arsenal,25,38.0,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826,Arsenal,25,38.0,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,Arsenal,25,38.0,969,25.5,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1,Arsenal,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,Arsenal,25,56.9,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,Arsenal,25,25.8,38,3420,90,100,38.0,418,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,Arsenal,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3
1,Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45,Aston Villa,2,38,38,3420,38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,Aston Villa,2,38.0,51,2,1,2,0,52.1,0.32,1.1,0.03,181,474,38.2,1182,133,29.5,30.4,299,41.8,35.1,538,59,11.0,35,0.92,13.7,Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,Aston Villa,28,38.0,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,Aston Villa,28,38.0,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,Aston Villa,28,38.0,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2,Aston Villa,28,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,Aston Villa,28,50.5,38.0,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,Aston Villa,28,27.0,38,3420,90,100,38.0,418,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,Aston Villa,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2
2,Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,Bournemouth,3,38,38,3420,38.0,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0,Bournemouth,3,38.0,46,4,1,5,0,54.8,0.3,8.8,0.23,174,465,37.4,960,158,35.2,32.9,266,47.7,39.4,460,25,5.4,62,1.63,16.0,Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,Bournemouth,29,38.0,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,Bournemouth,29,38.0,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,Bournemouth,29,38.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2,Bournemouth,29,38.0,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,Bournemouth,29,48.5,38.0,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,Bournemouth,29,25.1,38,3420,90,100,38.0,418,83,254,162,18,180,1.47,58,46,12,0.32,64.0,48.5,15.5,0.41,Bournemouth,29,38.0,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6
3,Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,Brentford,2,38,38,3420,38.0,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0,Brentford,2,38.0,57,1,0,2,3,53.3,0.26,-0.7,-0.02,264,697,37.9,1453,129,36.3,34.4,327,51.7,41.3,597,48,8.0,34,0.89,11.5,Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,Brentford,28,38.0,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356,Brentford,28,38.0,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,Brentford,28,38.0,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1,Brentford,28,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,Brentford,28,47.9,38.0,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,598,380,213,549,300,13153,1339,Brentford,28,25.8,38,3420,90,100,38.0,418,85,277,142,15,200,1.47,66,57,9,0.24,59.0,55.4,3.6,0.09,Brentford,28,38.0,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4
4,Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47,Brighton,2,38,38,3420,38.0,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0,Brighton,2,38.0,59,9,1,4,2,51.5,0.3,-5.5,-0.15,129,402,32.1,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,1.32,15.4,Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,Brighton,32,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539,Brighton,32,38.0,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,Brighton,32,38.0,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2,Brighton,32,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,Brighton,32,52.3,38.0,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,Brighton,32,24.8,38,3420,90,100,38.0,418,82,231,184,18,158,1.61,66,59,7,0.18,58.7,54.6,4.1,0.11,Brighton,32,38.0,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8
5,Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,Chelsea,2,38,38,3420,38.0,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,Chelsea,2,38.0,43,5,0,5,0,45.0,0.26,2.0,0.05,105,457,23.0,1207,209,34.5,33.4,224,17.9,20.9,423,49,11.6,59,1.55,14.5,Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,Chelsea,29,38.0,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595,Chelsea,29,38.0,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,Chelsea,29,38.0,1061,27.92,811,60,58,70,39,23,109,2.87,75,5,9,9,7,4,Chelsea,29,38.0,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,Chelsea,29,57.1,38.0,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,Chelsea,29,23.7,38,3420,90,100,38.0,418,83,277,140,19,202,1.82,64,43,21,0.55,67.8,47.3,20.5,0.54,Chelsea,29,38.0,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8
6,Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,Crystal Palace,1,38,38,3420,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,Crystal Palace,1,38.0,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,1.05,14.3,Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,Crystal Palace,29,38.0,11875,15754,75.4,213257,80237,5198,6077,85.5,5285,6317,83.7,1137,2545,44.7,38,46.4,36.6,-8.4,379,886,272,69,1158,Crystal Palace,29,38.0,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,Crystal Palace,29,38.0,877,23.08,633,76,33,71,48,16,89,2.34,60,8,6,8,6,1,Crystal Palace,29,38.0,767,450,374,299,94,324,643,50.4,319,485,144,341,334,1101,1088,19,Crystal Palace,29,42.8,38.0,20389,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,51887,25304,510,354,126,491,339,11783,1140,Crystal Palace,29,26.2,38,3420,90,100,38.0,418,83,268,148,18,192,1.39,51,51,0,0.0,60.4,49.1,11.3,0.3,Crystal Palace,29,38.0,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6
7,Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91,Everton,1,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,Everton,1,38.0,44,0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1297,161,51.0,39.7,289,50.2,40.7,558,31,5.6,57,1.5,15.2,Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,Everton,26,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041,Everton,26,38.0,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,Everton,26,38.0,713,18.76,530,65,44,31,31,12,68,1.79,46,4,6,4,5,3,Everton,26,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,Everton,26,40.9,38.0,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,51039,25414,486,364,119,525,390,11309,1023,Everton,26,28.0,38,3420,90,100,38.0,418,84,286,130,19,211,1.26,42,44,-2,-0.05,41.8,46.2,-4.5,-0.12,Everton,26,38.0,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1
8,Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2,Fulham,1,38,38,3420,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,Fulham,1,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1138,167,24.5,28.9,265,33.2,30.2,507,23,4.5,33,0.87,13.3,Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,Fulham,26,38.0,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558,Fulham,26,38.0,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,Fulham,26,38.0,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3,Fulham,26,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,Fulham,26,52.3,38.0,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,786,544,213,515,281,16043,1544,Fulham,26,28.1,38,3420,90,100,38.0,418,83,239,179,17,163,1.42,54,54,0,0.0,49.0,47.2,1.8,0.05,Fulham,26,38.0,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0
9,Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,Ipswich Town,3,38,38,3420,38.0,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,Ipswich Town,3,38.0,82,6,0,11,2,73.6,0.33,-6.4,-0.17,189,531,35.6,1000,184,36.6,34.3,306,53.9,41.4,609,71,11.7,35,0.92,8.2,Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,Ipswich Town,32,38.0,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935,Ipswich Town,32,38.0,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,Ipswich Town,32,38.0,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0,Ipswich Town,32,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,Ipswich Town,32,40.6,38.0,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,513,330,150,538,347,11405,920,Ipswich Town,32,25.8,38,3420,90,100,38.0,418,82,237,178,17,164,0.58,36,82,-46,-1.21,34.4,72.7,-38.3,-1.01,Ipswich Town,32,38.0,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9
