,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Atalanta,32,27.1,55.3,38,418,3420,38.0,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,2.0,1.42,3.42,1.87,3.29,1.71,1.23,2.94,1.57,2.8,Atalanta,3,38,38,3420,38.0,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0,Atalanta,3,38.0,37,2,0,4,2,41.1,0.29,6.1,0.16,133,413,32.2,980,193,27.6,32.3,233,61.4,47.5,363,21,5.8,56,1.47,14.5,Atalanta,32,38.0,76,538,181,33.6,14.16,4.76,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5,Atalanta,32,38.0,17454,20998,83.1,304878,97688,7796,8669,89.9,7832,8892,88.1,1506,2528,59.6,54,46.9,46.4,7.1,425,1382,395,113,1824,Atalanta,32,38.0,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326,Atalanta,32,38.0,966,25.42,736,75,51,71,22,11,131,3.45,105,5,4,13,4,0,Atalanta,32,38.0,571,347,238,260,73,272,506,53.8,234,360,98,262,296,867,679,16,Atalanta,32,55.3,38.0,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,80503,42064,897,696,254,574,362,17329,1808,Atalanta,32,27.1,38,3420,90,100,38.0,418,79,233,185,24,250,1.95,78,37,41,1.08,65.0,38.6,26.4,0.69,Atalanta,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4
1,Bologna,30,26.4,58.1,38,418,3420,38.0,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79.0,639,1468,1.47,1.13,2.61,1.32,2.45,1.3,0.93,2.22,1.15,2.08,Bologna,2,38,38,3420,38.0,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,Bologna,2,38.0,47,2,0,3,2,40.3,0.37,-4.7,-0.12,171,467,36.6,1386,158,28.6,31.6,187,37.4,35.6,312,29,9.3,32,0.84,13.0,Bologna,30,38.0,56,505,166,32.9,13.29,4.37,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2,Bologna,30,38.0,15681,19336,81.1,295869,97686,6113,6881,88.8,7530,8561,88.0,1765,3072,57.5,43,35.2,30.7,7.8,384,1351,293,109,1468,Bologna,30,38.0,19336,17378,1895,663,42,138,756,771,191,57,93,0,15681,63,307,Bologna,30,38.0,913,24.03,666,84,39,53,51,20,103,2.71,78,3,3,9,7,3,Bologna,30,38.0,591,346,215,270,106,283,538,52.6,255,390,93,297,258,849,679,20,Bologna,30,58.1,38.0,23304,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,70992,33468,639,422,167,598,361,15512,1457,Bologna,30,26.4,38,3420,90,100,38.0,418,80,230,185,21,335,1.63,57,47,10,0.26,49.3,36.7,12.6,0.33,Bologna,30,38.0,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5
2,Cagliari,28,26.6,44.9,38,418,3420,38.0,38,31,69,35,3,3,68,3,42.7,40.3,32.0,72.4,506,1150,1.0,0.82,1.82,0.92,1.74,1.12,0.84,1.97,1.06,1.9,Cagliari,4,38,38,3420,38.0,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0,Cagliari,4,38.0,56,6,0,10,0,54.8,0.33,-1.2,-0.03,232,597,38.9,999,165,42.9,35.5,336,50.0,40.7,540,28,5.2,36,0.95,11.8,Cagliari,28,38.0,38,421,115,27.3,11.08,3.03,0.08,0.3,16.0,10,3,3,42.7,40.3,0.1,-4.7,-5.3,Cagliari,28,38.0,12092,15802,76.5,219114,88994,5258,6076,86.5,5403,6411,84.3,1218,2515,48.4,31,32.0,29.3,-1.0,301,907,234,89,1150,Cagliari,28,38.0,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334,Cagliari,28,38.0,748,19.68,516,88,36,66,34,8,71,1.87,54,4,2,5,5,1,Cagliari,28,38.0,538,303,264,224,50,238,449,53.0,211,343,131,212,276,814,887,18,Cagliari,28,44.9,38.0,19802,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,52998,25903,506,339,115,585,294,11974,1140,Cagliari,28,26.6,38,3420,90,100,38.0,418,80,233,182,22,307,0.95,40,56,-16,-0.42,42.7,55.3,-12.6,-0.33,Cagliari,28,38.0,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2
3,Como,38,26.3,54.6,38,418,3420,38.0,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,1.16,1.03,2.18,1.16,2.18,1.2,0.96,2.16,1.16,2.12,Como,3,38,38,3420,38.0,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0,Como,3,38.0,52,7,0,7,0,44.6,0.27,-7.4,-0.19,150,405,37.0,1164,163,32.0,28.6,205,16.1,21.3,433,29,6.7,65,1.71,12.9,Como,38,38.0,44,519,176,33.9,13.66,4.63,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1,Como,38,38.0,15917,19183,83.0,268133,95134,7607,8351,91.1,6561,7392,88.8,1286,2359,54.5,39,36.6,30.8,2.4,405,1150,279,60,1377,Como,38,38.0,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358,Como,38,38.0,920,24.21,673,84,44,66,40,13,79,2.08,66,2,5,3,1,2,Como,38,38.0,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19,Como,38,54.6,38.0,23246,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,70678,35128,658,463,202,577,360,15729,1371,Como,38,26.3,38,3420,90,100,38.0,418,81,229,187,18,308,1.29,49,52,-3,-0.08,45.4,43.0,2.4,0.06,Como,38,38.0,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2
4,Empoli,34,25.4,41.7,38,418,3420,38.0,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,0.82,0.55,1.37,0.76,1.32,0.86,0.6,1.46,0.79,1.4,Empoli,3,38,38,3420,38.0,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,Empoli,3,38.0,59,1,0,7,1,50.1,0.31,-7.9,-0.21,199,654,30.4,944,125,58.3,41.8,328,31.7,28.6,556,37,6.7,20,0.53,12.6,Empoli,34,38.0,31,367,107,29.2,9.66,2.82,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1,Empoli,34,38.0,10093,13916,72.5,186741,74734,4015,4844,82.9,4558,5549,82.1,1180,2624,45.0,21,22.9,19.4,-1.9,269,799,214,71,1013,Empoli,34,38.0,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312,Empoli,34,38.0,638,16.79,452,53,41,35,39,18,51,1.34,35,4,5,4,2,1,Empoli,34,38.0,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21,Empoli,34,41.7,38.0,18255,2279,6509,8088,3861,562,18252,505,212,42.0,238,47.1,8486,43445,20518,428,284,102,594,349,9986,1004,Empoli,34,25.4,38,3420,90,100,38.0,418,82,245,169,19,292,0.82,33,59,-26,-0.68,32.5,50.1,-17.6,-0.46,Empoli,34,38.0,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8
5,Fiorentina,34,26.3,51.0,38,407,3419,38.0,55,37,92,49,6,8,81,3,48.9,42.6,35.1,77.7,620,1240,1.45,0.97,2.42,1.29,2.26,1.29,0.92,2.21,1.12,2.04,Fiorentina,2,38,38,3330,38.0,41,1.11,146,104,72.6,18,8,11,11,28.9,3,1,2,0,66.7,Fiorentina,2,38.0,41,1,0,3,1,40.7,0.27,0.7,0.02,226,515,43.9,923,143,40.8,35.8,293,47.1,39.2,498,14,2.8,31,0.84,14.5,Fiorentina,34,38.0,55,429,160,37.3,11.29,4.21,0.11,0.31,18.4,20,6,8,48.9,42.6,0.1,6.1,6.4,Fiorentina,34,38.0,14193,17510,81.1,262148,91970,5771,6478,89.1,6566,7504,87.5,1565,2733,57.3,37,35.1,27.4,1.9,336,984,244,74,1240,Fiorentina,34,38.0,17510,15677,1745,600,27,99,581,626,148,66,40,1,14193,88,283,Fiorentina,34,38.0,799,21.03,579,59,51,50,45,15,100,2.63,65,8,9,10,8,0,Fiorentina,34,38.0,531,311,267,195,69,248,488,50.8,240,353,123,230,269,800,911,17,Fiorentina,34,51.0,38.0,21431,2419,7306,9857,4479,671,21423,600,270,45.0,254,42.3,12538,66795,32278,620,479,164,535,306,14051,1226,Fiorentina,34,26.3,38,3419,90,100,38.0,407,82,236,172,20,253,1.71,60,41,19,0.5,48.9,42.8,6.1,0.16,Fiorentina,34,38.0,81,3,2,429,541,85,581,269,311,6,3,1,1436,508,487,51.1
6,Genoa,37,26.2,45.6,38,418,3420,38.0,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,0.92,0.71,1.63,0.92,1.63,0.98,0.71,1.68,0.93,1.64,Genoa,4,38,38,3420,38.0,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,Genoa,4,38.0,49,6,0,5,3,49.8,0.28,3.8,0.1,190,506,37.5,960,142,37.2,42.3,314,47.5,39.7,527,24,4.6,17,0.45,3.3,Genoa,37,38.0,35,383,117,30.5,10.08,3.08,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5,Genoa,37,38.0,12025,15727,76.5,221047,81991,4811,5621,85.6,5664,6683,84.8,1243,2515,49.4,27,26.8,22.6,0.2,285,737,201,78,980,Genoa,37,38.0,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330,Genoa,37,38.0,657,17.29,455,80,22,45,44,11,61,1.61,45,7,1,6,2,0,Genoa,37,38.0,672,385,281,287,104,283,566,50.0,283,422,126,296,308,980,938,15,Genoa,37,45.6,38.0,20080,2523,7477,8829,3958,644,20078,505,187,37.0,260,51.5,10006,52887,25471,470,343,112,593,289,11902,967,Genoa,37,26.2,38,3420,90,100,38.0,418,81,249,170,22,319,1.13,37,49,-12,-0.32,37.2,47.2,-10.0,-0.26,Genoa,37,38.0,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9
7,Hellas Verona,32,25.1,38.7,38,418,3420,38.0,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,0.82,0.53,1.34,0.76,1.29,0.89,0.65,1.54,0.85,1.5,Hellas Verona,2,38,38,3420,38.0,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,Hellas Verona,2,38.0,66,2,0,6,1,53.8,0.31,-11.2,-0.29,217,761,28.5,793,93,60.9,55.4,313,88.8,59.3,544,32,5.9,26,0.68,20.3,Hellas Verona,32,38.0,31,372,95,25.5,9.79,2.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3,Hellas Verona,32,38.0,9854,13457,73.2,178691,69540,4411,5150,85.7,4092,4944,82.8,1079,2569,42.0,20,24.8,20.6,-4.8,276,824,189,61,1011,Hellas Verona,32,38.0,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283,Hellas Verona,32,38.0,640,16.84,459,66,31,40,31,13,48,1.26,29,5,3,6,3,2,Hellas Verona,32,38.0,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23,Hellas Verona,32,38.7,38.0,17659,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,47190,22203,449,338,100,533,254,9765,998,Hellas Verona,32,25.1,38,3420,90,100,38.0,418,80,231,180,23,368,0.97,34,66,-32,-0.84,33.8,53.4,-19.6,-0.51,Hellas Verona,32,38.0,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49.0
8,Inter,26,29.4,59.4,38,407,3419,38.0,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,2.0,1.5,3.5,1.79,3.29,1.76,1.27,3.03,1.58,2.85,Inter,2,38,38,3330,38.0,32,0.86,124,92,76.6,24,9,4,16,42.1,4,3,1,0,25.0,Inter,2,38.0,32,3,0,3,1,35.8,0.26,4.8,0.13,114,277,41.2,1364,151,17.7,28.6,202,17.8,25.4,437,17,3.9,17,0.46,15.8,Inter,26,38.0,76,554,177,31.9,14.58,4.66,0.12,0.38,16.6,17,8,9,66.9,60.1,0.11,9.1,7.9,Inter,26,38.0,19412,22592,85.9,343835,107852,8329,9108,91.4,8987,9926,90.5,1751,2661,65.8,57,48.3,49.0,8.7,434,1353,410,119,1730,Inter,26,38.0,22592,20929,1573,442,86,132,728,635,221,58,125,1,19412,90,299,Inter,26,38.0,1028,27.06,781,97,31,62,42,15,133,3.5,99,10,5,10,8,1,Inter,26,38.0,505,278,215,198,92,239,452,52.9,213,356,126,230,223,728,676,11,Inter,26,59.4,38.0,26215,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,81857,40921,694,566,155,423,242,19251,1717,Inter,26,29.4,38,3419,90,100,38.0,407,80,225,183,22,273,2.13,79,35,44,1.16,66.9,36.4,30.5,0.8,Inter,26,38.0,56,1,1,407,394,88,728,223,278,6,4,1,1440,604,419,59.0
9,Juventus,29,24.6,57.2,38,418,3420,38.0,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,1.47,1.05,2.53,1.32,2.37,1.34,0.94,2.29,1.22,2.16,Juventus,2,38,38,3420,38.0,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,Juventus,2,38.0,35,5,0,6,0,31.8,0.23,-3.2,-0.09,139,377,36.9,939,156,31.1,29.4,237,35.9,32.2,519,32,6.2,33,0.87,14.0,Juventus,29,38.0,56,509,175,34.4,13.39,4.61,0.1,0.29,17.3,11,6,6,51.0,46.3,0.09,5.0,3.7,Juventus,29,38.0,18259,21231,86.0,316000,98768,8378,9109,92.0,8078,8869,91.1,1473,2432,60.6,40,35.9,33.2,4.1,393,1390,305,67,1561,Juventus,29,38.0,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283,Juventus,29,38.0,908,23.89,690,60,55,58,31,14,94,2.47,69,5,8,7,3,2,Juventus,29,38.0,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27,Juventus,29,57.2,38.0,25202,2320,7729,11766,5913,856,25196,658,309,47.0,300,45.6,15347,86896,45140,810,558,216,568,293,18089,1548,Juventus,29,24.6,38,3420,90,100,38.0,418,82,255,164,20,203,1.84,58,35,23,0.61,51.0,34.0,16.9,0.45,Juventus,29,38.0,67,3,1,480,378,52,630,215,353,3,5,0,1516,458,461,49.8
