Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Erling Haaland,Manchester City,Premier League,FW,24,28,2480,21,3,20.8,2.8,18.4,200000000.0,225,341,66.0,2706,532,26,9,5,11,2,0,24,0.86,27.6,5,1,99,54
Jude Bellingham,Real Madrid,La Liga,MF,21,24,1983,8,7,8.9,3.6,7.3,180000000.0,1092,1260,86.7,17417,3793,33,49,23,28,3,1,15,0.56,22.0,28,0,44,16
Kylian Mbappé,Real Madrid,La Liga,FW,26,28,2420,22,3,20.0,6.5,14.5,170000000.0,793,957,82.9,11543,2042,41,8,0,3,3,0,25,0.98,26.9,5,2,121,62
Bukayo Saka,Arsenal,Premier League,"FW,MF",23,18,1338,6,10,5.2,6.0,4.4,150000000.0,420,565,74.3,6582,1985,43,23,2,16,3,0,16,0.75,14.9,13,10,48,18
Jamal Musiala,Bayern Munich,Bundesliga,MF,22,25,1798,12,2,9.3,4.5,9.3,140000000.0,778,942,82.6,10803,2645,41,36,8,30,3,0,14,0.69,20.0,21,0,68,31
Florian Wirtz,Leverkusen,Bundesliga,"MF,FW",21,25,1876,9,10,8.5,6.0,5.2,140000000.0,1105,1392,79.4,14510,3764,48,29,8,23,1,0,19,0.69,20.8,18,6,62,28
Cole Palmer,Chelsea,Premier League,MF,22,29,2530,14,7,15.3,9.1,12.1,130000000.0,892,1172,76.1,17039,4530,71,24,7,14,5,0,21,0.87,28.1,15,14,100,38
Phil Foden,Manchester City,Premier League,"MF,FW",24,24,1629,7,2,4.9,4.7,4.9,130000000.0,731,863,84.7,11420,2435,41,12,9,12,2,0,9,0.53,18.1,5,5,50,16
Federico Valverde,Real Madrid,La Liga,"MF,DF",26,28,2313,5,3,1.9,2.6,1.9,130000000.0,1537,1718,89.5,27164,7931,31,40,50,30,3,0,8,0.18,25.7,25,1,35,16
Declan Rice,Arsenal,Premier League,MF,26,29,2336,2,5,2.6,6.0,2.6,110000000.0,1160,1392,83.3,19897,5390,49,46,22,21,6,1,7,0.33,26.0,19,5,38,9
Alexander Isak,Newcastle Utd,Premier League,FW,25,26,2117,20,5,16.1,3.8,14.5,100000000.0,401,544,73.7,5620,1305,36,12,3,17,1,0,25,0.85,23.5,5,0,70,32
Martin Ødegaard,Arsenal,Premier League,MF,26,23,1836,2,4,4.2,4.1,3.4,100000000.0,943,1146,82.3,14228,4245,47,18,3,4,3,0,6,0.41,20.4,10,5,36,11
Lautaro Martínez,Inter,Serie A,FW,27,28,2321,11,3,12.0,4.0,12.0,95000000.0,426,568,75.0,6686,1457,33,28,9,16,0,0,14,0.62,25.8,15,1,92,32
Alexis Mac Allister,Liverpool,Premier League,MF,26,29,2201,3,3,2.3,4.1,2.3,90000000.0,1082,1284,84.3,17187,4718,34,79,19,52,6,0,6,0.26,24.5,49,1,30,9
Harry Kane,Bayern Munich,Bundesliga,FW,31,26,2023,23,8,17.9,4.3,10.9,90000000.0,426,542,78.6,7603,1839,29,10,2,12,4,0,31,0.98,22.5,9,2,86,36
Luis Díaz,Liverpool,Premier League,FW,28,29,1935,9,5,7.9,3.8,7.9,85000000.0,619,730,84.8,9859,2053,45,28,6,14,2,0,14,0.54,21.5,18,3,57,23
William Saliba,Arsenal,Premier League,DF,24,29,2544,2,0,2.2,0.5,2.2,80000000.0,1942,2073,93.7,33537,10188,4,53,19,21,2,1,2,0.1,28.3,31,0,5,2
Aurélien Tchouaméni,Real Madrid,La Liga,"DF,MF",25,25,2094,0,0,1.2,0.5,1.2,80000000.0,1518,1641,92.5,26758,8937,4,34,35,25,3,0,0,0.07,23.3,17,1,15,3
Bruno Guimarães,Newcastle Utd,Premier League,MF,27,29,2513,3,6,2.8,5.2,2.8,80000000.0,1131,1377,82.1,18658,6257,39,60,25,29,4,0,9,0.29,27.9,35,4,31,7
Dominik Szoboszlai,Liverpool,Premier League,MF,24,28,2043,5,3,6.8,5.0,6.8,80000000.0,931,1103,84.4,14459,2886,41,29,9,33,6,0,8,0.52,22.7,19,4,56,17
Khvicha Kvaratskhelia,Napoli,Serie A,"FW,MF",24,17,1178,5,3,4.1,3.7,3.4,80000000.0,352,461,76.4,5985,1769,28,15,4,13,1,0,8,0.6,13.1,9,4,49,16
Alessandro Bastoni,Inter,Serie A,DF,25,29,2147,1,4,0.7,2.3,0.7,80000000.0,1793,2016,88.9,33289,10310,26,38,21,22,5,1,5,0.13,23.9,18,23,12,2
Moisés Caicedo,Chelsea,Premier League,MF,23,30,2631,1,2,0.6,2.6,0.6,80000000.0,1587,1770,89.7,27548,7142,23,88,41,41,9,0,3,0.11,29.2,54,2,14,3
